seqid,mean_plddt,ptm,length
cand00506,93.33,0.76,65
cand02070,93.33,0.75,80
cand01498,93.32,0.77,65
cand01259,93.32,0.51,67
cand01027,93.31,0.71,85
cand01628,93.31,0.76,79
cand01072,93.3,0.74,75
cand01364,93.29,0.5,76
cand00161,93.29,0.76,66
cand01306,93.29,0.73,74
cand01853,93.28,0.74,65
cand01056,93.28,0.75,67
cand00076,93.27,0.78,81
cand00897,93.27,0.73,74
cand02144,93.26,0.75,81
cand01722,93.26,0.73,85
cand02123,93.25,0.72,85
cand01867,93.25,0.76,81
cand00840,93.24,0.75,67
cand01024,93.24,0.69,68
cand01775,93.23,0.69,76
cand02202,93.22,0.68,81
cand02032,93.2,0.74,81
cand00416,93.19,0.78,72
cand02204,93.18,0.73,68
cand00047,93.18,0.73,66
cand00216,93.18,0.76,82
cand00400,93.17,0.79,72
cand01277,93.16,0.72,79
cand02139,93.13,0.7,85
cand00260,93.13,0.74,66
cand01266,93.13,0.71,74
cand00866,93.12,0.69,68
cand02374,93.12,0.71,68
cand00848,93.11,0.79,80
cand00188,93.11,0.78,82
cand01567,93.11,0.74,79
cand01677,93.11,0.75,65
cand01933,93.11,0.73,76
cand02350,93.1,0.72,68
cand01660,93.1,0.73,76
cand01174,93.09,0.68,79
cand00823,93.08,0.75,72
cand00857,93.07,0.71,74
cand00026,93.07,0.73,66
cand01510,93.07,0.76,65
cand02316,93.06,0.75,68
cand00948,93.06,0.75,67
cand00784,93.06,0.79,80
cand00430,93.05,0.77,80
cand01013,93.05,0.75,67
cand00341,93.04,0.77,72
cand01211,93.04,0.67,79
cand00295,93.04,0.61,83
cand02130,93.03,0.71,85
cand01282,93.03,0.76,65
cand02409,93.02,0.69,66
cand01666,93.02,0.73,76
cand01014,93.02,0.68,72
cand01868,93.01,0.75,76
cand00330,93.0,0.75,82
cand00904,93.0,0.67,79
cand02209,92.99,0.75,76
cand00119,92.99,0.78,81
cand01638,92.99,0.71,72
cand02184,92.98,0.7,85
cand02405,92.97,0.72,68
cand01015,92.97,0.72,72
cand00271,92.96,0.76,72
cand02281,92.95,0.51,74
cand02053,92.95,0.74,65
cand01625,92.95,0.71,79
cand01258,92.95,0.68,85
cand01293,92.94,0.7,85
cand02461,92.94,0.74,71
cand00679,92.92,0.73,73
cand01318,92.92,0.68,79
cand00943,92.92,0.72,73
cand02356,92.91,0.72,68
cand01654,92.91,0.75,74
cand01030,92.91,0.82,85
cand01487,92.91,0.67,79
cand02098,92.9,0.76,79
cand01173,92.89,0.75,67
cand02208,92.88,0.7,68
cand01590,92.87,0.72,80
cand00441,92.87,0.64,74
cand00886,92.87,0.74,72
cand01374,92.86,0.71,84
cand01824,92.86,0.69,81
cand00132,92.86,0.75,66
cand00540,92.86,0.76,72
cand01752,92.85,0.71,72
cand00105,92.84,0.78,81
cand01645,92.84,0.66,65
cand01430,92.84,0.7,72
cand02065,92.84,0.69,72
cand00775,92.83,0.77,72
cand01785,92.83,0.73,65
cand01864,92.83,0.74,81
cand00697,92.83,0.77,80
cand00111,92.81,0.76,84
cand01573,92.81,0.68,79
cand02324,92.8,0.67,74
cand02384,92.8,0.73,68
cand02050,92.8,0.67,72
cand00625,92.79,0.78,72
cand01392,92.78,0.71,76
cand00064,92.76,0.74,66
cand02267,92.76,0.68,68
cand00227,92.76,0.76,84
cand01325,92.76,0.7,74
cand00259,92.76,0.78,74
cand01922,92.75,0.73,80
cand01225,92.75,0.71,74
cand01334,92.75,0.7,74
cand01417,92.74,0.71,74
cand02108,92.74,0.71,74
cand00130,92.73,0.77,81
cand01669,92.73,0.77,72
cand01411,92.73,0.67,79
cand01271,92.73,0.71,85
cand00574,92.72,0.76,72
cand02342,92.72,0.73,68
cand01385,92.7,0.76,67
cand01343,92.7,0.66,79
cand00635,92.7,0.77,72
cand00827,92.7,0.67,79
cand01380,92.69,0.7,74
cand00219,92.69,0.75,82
cand02033,92.68,0.7,85
cand00700,92.68,0.71,74
cand00054,92.67,0.77,78
cand01609,92.67,0.69,74
cand00964,92.66,0.68,79
cand01356,92.66,0.72,84
cand02392,92.65,0.7,66
cand01178,92.65,0.69,74
cand01344,92.64,0.77,67
cand00129,92.63,0.75,82
cand01339,92.63,0.74,75
cand01031,92.62,0.71,72
cand00273,92.61,0.74,66
cand01224,92.58,0.8,85
cand01548,92.58,0.75,79
cand01053,92.58,0.67,79
cand02418,92.57,0.72,65
cand01563,92.55,0.69,85
cand02073,92.55,0.72,65
cand01354,92.55,0.68,85
cand01089,92.54,0.67,79
cand00029,92.53,0.77,81
cand01581,92.53,0.49,84
cand00025,92.52,0.75,66
cand00940,92.52,0.74,72
cand02369,92.52,0.68,65
cand00820,92.52,0.69,74
cand00712,92.52,0.79,80
cand01570,92.51,0.73,65
cand00241,92.51,0.67,74
cand00892,92.51,0.74,67
cand01080,92.5,0.69,79
cand02400,92.5,0.7,75
cand02276,92.5,0.69,74
cand02307,92.49,0.72,68
cand00796,92.49,0.79,84
cand00510,92.49,0.77,72
cand02353,92.48,0.68,65
cand01181,92.48,0.7,85
cand00203,92.48,0.76,72
cand01519,92.48,0.7,85
cand01389,92.47,0.71,85
cand00017,92.45,0.74,66
cand00425,92.44,0.77,79
cand01165,92.44,0.69,76
cand01315,92.43,0.69,74
cand01207,92.43,0.72,84
cand01733,92.43,0.66,72
cand01036,92.42,0.66,72
cand01457,92.41,0.71,76
cand02468,92.41,0.71,80
cand00539,92.4,0.76,84
cand01840,92.4,0.73,80
cand00869,92.39,0.72,73
cand02265,92.39,0.7,68
cand01695,92.38,0.74,79
cand02340,92.36,0.73,68
cand00006,92.36,0.72,66
cand01977,92.35,0.72,76
cand01464,92.34,0.48,84
cand02124,92.33,0.69,74
cand01460,92.32,0.69,76
cand02472,92.32,0.71,71
cand01720,92.31,0.71,79
cand01634,92.31,0.73,79
cand01673,92.3,0.69,79
cand00248,92.3,0.76,84
cand00905,92.3,0.66,79
cand01931,92.29,0.71,65
cand00408,92.28,0.77,84
cand02064,92.28,0.72,85
cand00628,92.26,0.66,79
cand01967,92.25,0.75,75
cand00962,92.24,0.74,72
cand02380,92.24,0.7,68
cand01483,92.24,0.69,85
cand00397,92.24,0.76,80
cand01468,92.23,0.67,79
cand01798,92.23,0.71,76
cand01263,92.23,0.48,84
cand01363,92.22,0.67,72
cand00555,92.22,0.76,72
cand00363,92.21,0.73,73
cand00434,92.2,0.79,80
cand01352,92.2,0.65,79
cand00536,92.19,0.71,74
cand02107,92.19,0.69,72
cand01002,92.18,0.72,74
cand00826,92.18,0.71,73
cand02261,92.17,0.7,67
cand01655,92.17,0.67,85
cand01603,92.17,0.49,84
cand01312,92.16,0.67,79
cand01796,92.15,0.67,72
cand00858,92.13,0.66,72
cand02131,92.13,0.68,72
cand00347,92.13,0.75,72
cand02270,92.13,0.71,80
cand01794,92.13,0.73,65
cand01432,92.12,0.76,67
cand00600,92.12,0.72,74
cand01203,92.09,0.7,85
cand02068,92.09,0.72,65
cand01329,92.09,0.67,72
cand02337,92.07,0.73,68
cand01112,92.07,0.65,79
cand02292,92.07,0.71,74
cand00049,92.06,0.76,81
cand00163,92.05,0.76,81
cand00829,92.05,0.5,84
cand02015,92.03,0.7,65
cand01456,92.03,0.67,85
cand01451,92.03,0.66,79
cand02370,92.03,0.72,76
cand00242,92.03,0.76,82
cand00720,92.02,0.7,74
cand00569,92.02,0.72,74
cand01706,92.02,0.69,74
cand01289,92.01,0.68,74
cand01412,92.01,0.74,67
cand02177,92.01,0.68,81
cand02417,92.0,0.7,68
cand00959,92.0,0.71,74
cand02318,91.98,0.68,74
cand02463,91.97,0.73,80
cand01950,91.96,0.71,76
cand01747,91.96,0.72,79
cand02348,91.95,0.67,68
cand01681,91.95,0.71,65
cand00211,91.95,0.75,81
cand00907,91.95,0.67,79
cand00372,91.95,0.73,82
cand01993,91.94,0.69,85
cand00957,91.94,0.76,67
cand02109,91.94,0.72,76
cand00544,91.92,0.75,71
cand00405,91.91,0.78,79
cand01324,91.91,0.73,79
cand01650,91.9,0.68,74
cand00687,91.9,0.76,80
cand01448,91.89,0.69,72
cand00032,91.87,0.75,81
cand02445,91.87,0.7,68
cand01453,91.85,0.71,79
cand00554,91.85,0.76,84
cand01685,91.85,0.65,79
cand01501,91.85,0.69,85
cand01278,91.85,0.71,72
cand01086,91.84,0.73,67
cand02269,91.84,0.72,80
cand02441,91.83,0.72,80
cand01888,91.83,0.71,80
cand00479,91.83,0.54,84
cand01802,91.82,0.71,80
cand01970,91.82,0.69,85
cand00432,91.82,0.48,74
cand00921,91.82,0.7,74
cand00508,91.82,0.77,84
cand02457,91.82,0.69,68
cand02099,91.82,0.69,68
cand02174,91.81,0.71,81
cand00359,91.8,0.74,71
cand01947,91.8,0.71,65
cand01182,91.8,0.53,67
cand01514,91.8,0.7,76
cand01518,91.8,0.66,79
cand02277,91.79,0.68,74
cand00471,91.79,0.77,79
cand02156,91.78,0.7,68
cand00394,91.78,0.76,83
cand01441,91.77,0.67,72
cand01948,91.77,0.74,80
cand02352,91.76,0.71,68
cand01987,91.76,0.7,76
cand00491,91.75,0.52,84
cand02074,91.75,0.68,68
cand00289,91.74,0.75,72
cand01215,91.73,0.65,72
cand02035,91.72,0.69,76
cand00816,91.72,0.75,79
cand02419,91.71,0.71,68
cand01425,91.71,0.65,79
cand02062,91.7,0.71,65
cand00448,91.7,0.73,82
cand01458,91.68,0.65,79
cand01186,91.68,0.71,75
cand00719,91.68,0.76,72
cand00028,91.66,0.77,81
cand00523,91.66,0.47,84
cand02279,91.65,0.69,68
cand01436,91.65,0.73,65
cand02431,91.64,0.7,68
cand01600,91.64,0.67,79
cand02341,91.63,0.67,68
cand00716,91.63,0.76,80
cand01083,91.61,0.66,85
cand01284,91.61,0.67,74
cand02364,91.61,0.71,68
cand01942,91.61,0.74,75
cand01517,91.6,0.7,80
cand01336,91.59,0.64,79
cand00457,91.58,0.73,74
cand01552,91.57,0.64,79
cand00833,91.57,0.71,73
cand01281,91.56,0.69,76
cand01290,91.55,0.73,81
cand01029,91.55,0.64,72
cand00349,91.54,0.69,74
cand01792,91.54,0.47,84
cand02248,91.52,0.68,74
cand01000,91.52,0.65,79
cand01337,91.52,0.67,85
cand00651,91.51,0.76,80
cand01375,91.48,0.72,80
cand01012,91.48,0.68,74
cand01068,91.48,0.5,67
cand02149,91.45,0.68,81
cand00172,91.44,0.76,78
cand01187,91.44,0.64,79
cand00252,91.44,0.71,66
cand01920,91.42,0.72,80
cand01793,91.42,0.68,65
cand01691,91.42,0.71,80
cand00500,91.41,0.71,82
cand00094,91.4,0.72,66
cand00936,91.4,0.76,72
cand00407,91.38,0.77,82
cand01585,91.38,0.63,79
cand01317,91.37,0.74,79
cand00244,91.36,0.73,82
cand01851,91.36,0.75,65
cand01845,91.36,0.74,75
cand02160,91.36,0.7,81
cand00435,91.34,0.76,72
cand01251,91.34,0.74,71
cand01968,91.33,0.7,65
cand02234,91.32,0.65,68
cand01818,91.31,0.7,79
cand00145,91.31,0.71,66
cand01229,91.3,0.73,67
cand01711,91.3,0.64,72
cand00834,91.3,0.71,72
cand00010,91.28,0.75,81
cand01042,91.28,0.72,79
cand01966,91.25,0.74,75
cand01299,91.25,0.69,76
cand01172,91.25,0.7,75
cand01065,91.25,0.62,72
cand02338,91.24,0.7,68
cand01544,91.24,0.67,85
cand01075,91.24,0.67,72
cand02176,91.24,0.5,74
cand00177,91.23,0.73,72
cand01183,91.23,0.73,76
cand01335,91.23,0.65,72
cand00762,91.22,0.69,73
cand01393,91.21,0.64,79
cand00926,91.21,0.7,73
cand02390,91.21,0.65,68
cand02010,91.2,0.69,65
cand00584,91.19,0.68,73
cand01313,91.19,0.7,74
cand00930,91.19,0.71,67
cand01034,91.19,0.66,85
cand01899,91.19,0.68,79
cand00513,91.18,0.76,72
cand02413,91.17,0.71,68
cand01037,91.17,0.76,85
cand02236,91.16,0.66,74
cand00055,91.16,0.72,66
cand00424,91.14,0.74,72
cand01828,91.13,0.71,65
cand00516,91.13,0.76,82
cand00315,91.13,0.75,84
cand02471,91.12,0.69,80
cand01397,91.11,0.64,85
cand02425,91.1,0.68,68
cand02322,91.09,0.66,68
cand00501,91.09,0.75,72
cand00579,91.08,0.65,79
cand00871,91.08,0.71,72
cand00233,91.08,0.74,78
cand01799,91.07,0.69,65
cand00126,91.06,0.75,78
cand00099,91.06,0.7,66
cand02306,91.06,0.66,74
cand00855,91.05,0.65,74
cand01319,91.04,0.72,74
cand00277,91.04,0.7,82
cand00983,91.03,0.7,73
cand01340,91.03,0.65,85
cand02242,91.02,0.65,74
cand02258,91.02,0.69,74
cand01120,91.02,0.65,85
cand01980,91.01,0.69,65
cand02191,91.0,0.69,81
cand00238,90.99,0.59,84
cand00149,90.98,0.72,66
cand01185,90.98,0.63,79
cand01350,90.97,0.7,76
cand00278,90.97,0.74,79
cand01189,90.95,0.66,74
cand00659,90.94,0.73,80
cand01613,90.94,0.66,76
cand00156,90.93,0.75,79
cand02343,90.92,0.65,65
cand02148,90.92,0.68,74
cand00560,90.9,0.74,67
cand00486,90.9,0.68,72
cand02321,90.89,0.66,74
cand00988,90.89,0.72,67
cand02206,90.88,0.69,81
cand00787,90.87,0.76,80
cand01383,90.86,0.7,80
cand01157,90.86,0.65,79
cand02403,90.85,0.69,68
cand01598,90.85,0.68,79
cand01404,90.85,0.65,79
cand00880,90.85,0.67,74
cand02153,90.84,0.69,80
cand00214,90.83,0.72,80
cand02181,90.83,0.68,68
cand02366,90.82,0.48,70
cand01472,90.81,0.69,65
cand01302,90.81,0.73,72
cand01426,90.81,0.63,72
cand01110,90.8,0.68,65
cand02241,90.79,0.66,74
cand00531,90.79,0.78,85
cand00541,90.79,0.75,80
cand01838,90.78,0.7,76
cand02391,90.78,0.67,68
cand00436,90.75,0.77,79
cand00305,90.75,0.75,83
cand00380,90.75,0.75,79
cand02136,90.74,0.64,68
cand01233,90.74,0.66,74
cand02467,90.74,0.67,68
cand01858,90.72,0.68,65
cand00640,90.71,0.74,72
cand02465,90.69,0.67,68
cand01040,90.69,0.67,74
cand02170,90.68,0.71,85
cand00370,90.68,0.75,72
cand01879,90.67,0.68,65
cand00805,90.66,0.73,67
cand01976,90.65,0.72,65
cand01474,90.64,0.7,80
cand01439,90.64,0.67,85
cand01043,90.63,0.65,85
cand02259,90.62,0.66,67
cand01558,90.62,0.74,80
cand01351,90.62,0.62,79
cand01114,90.61,0.63,72
cand02301,90.59,0.66,74
cand01137,90.59,0.71,67
cand01508,90.58,0.73,75
cand02331,90.56,0.63,68
cand00324,90.54,0.73,79
cand02271,90.54,0.69,68
cand00071,90.51,0.75,78
cand01129,90.51,0.74,80
cand02225,90.5,0.71,75
cand00548,90.5,0.74,84
cand01789,90.49,0.64,67
cand02239,90.46,0.66,65
cand01035,90.46,0.63,79
cand01975,90.45,0.7,65
cand00037,90.45,0.69,66
cand01770,90.45,0.69,80
cand00741,90.44,0.75,80
cand00801,90.44,0.68,79
cand01574,90.43,0.68,65
cand02251,90.42,0.65,74
cand00348,90.41,0.74,83
cand02224,90.4,0.67,67
cand01003,90.39,0.77,80
cand00178,90.38,0.7,82
cand00152,90.38,0.7,66
cand02334,90.36,0.67,65
cand01466,90.35,0.62,79
cand02436,90.35,0.67,68
cand01023,90.35,0.76,85
cand00097,90.34,0.69,66
cand02278,90.34,0.69,68
cand01762,90.34,0.69,65
cand00267,90.34,0.69,66
cand00755,90.33,0.75,72
cand01832,90.33,0.7,65
cand01716,90.33,0.72,80
cand00223,90.32,0.73,66
cand01486,90.32,0.72,71
cand02211,90.31,0.63,68
cand01872,90.31,0.74,75
cand01877,90.3,0.66,65
cand01213,90.26,0.68,80
cand00914,90.26,0.71,72
cand01127,90.26,0.7,67
cand00744,90.24,0.72,72
cand00867,90.24,0.69,73
cand01402,90.22,0.72,67
cand01304,90.21,0.61,79
cand01737,90.21,0.73,67
cand01148,90.21,0.68,80
cand01578,90.2,0.6,79
cand00839,90.2,0.76,85
cand00283,90.2,0.72,65
cand00489,90.17,0.72,82
cand00811,90.17,0.63,85
cand02162,90.16,0.67,74
cand01477,90.15,0.68,85
cand01097,90.14,0.75,80
cand00794,90.14,0.73,67
cand01237,90.11,0.69,80
cand02319,90.09,0.67,74
cand02078,90.08,0.72,76
cand02426,90.07,0.71,80
cand01387,90.06,0.69,84
cand01171,90.05,0.7,67
cand00207,90.03,0.72,79
cand01779,90.02,0.69,80
cand00913,90.01,0.71,67
cand00280,90.01,0.72,79
cand00776,90.0,0.75,72
cand02079,90.0,0.68,65
cand00723,89.98,0.72,80
cand00561,89.98,0.71,71
cand00058,89.98,0.69,66
cand02398,89.95,0.65,68
cand01901,89.94,0.68,65
cand01106,89.93,0.69,67
cand02095,89.93,0.68,65
cand00379,89.93,0.72,73
cand00725,89.92,0.71,72
cand01804,89.92,0.68,65
cand01897,89.91,0.72,75
cand01155,89.9,0.76,85
cand02480,89.89,0.5,80
cand00862,89.87,0.72,80
cand02143,89.85,0.62,68
cand01534,89.85,0.62,85
cand00269,89.85,0.73,72
cand00030,89.84,0.59,83
cand02459,89.84,0.65,68
cand01133,89.84,0.6,79
cand01553,89.82,0.72,79
cand01730,89.8,0.7,65
cand00650,89.78,0.73,80
cand01108,89.78,0.61,79
cand01222,89.76,0.71,76
cand01077,89.76,0.65,85
cand02311,89.75,0.66,68
cand01309,89.71,0.73,71
cand02023,89.69,0.66,81
cand00969,89.69,0.7,72
cand00788,89.68,0.67,73
cand00942,89.66,0.63,74
cand00798,89.66,0.74,72
cand00498,89.66,0.67,73
cand00580,89.65,0.7,65
cand00197,89.65,0.74,79
cand01537,89.65,0.72,79
cand00091,89.64,0.73,78
cand01132,89.64,0.7,67
cand01341,89.63,0.68,65
cand00863,89.62,0.68,67
cand01261,89.62,0.68,65
cand00080,89.61,0.71,79
cand01929,89.61,0.71,65
cand02349,89.6,0.66,68
cand00355,89.6,0.74,80
cand00098,89.6,0.71,79
cand02228,89.59,0.69,74
cand01826,89.57,0.66,80
cand01489,89.57,0.69,79
cand01228,89.55,0.7,67
cand01780,89.55,0.7,67
cand02192,89.55,0.63,65
cand01827,89.54,0.71,76
cand01925,89.54,0.64,65
cand01305,89.52,0.72,71
cand02205,89.52,0.6,68
cand01803,89.51,0.71,75
cand00265,89.51,0.7,79
cand01502,89.5,0.69,80
cand01831,89.49,0.67,80
cand01463,89.49,0.68,79
cand00084,89.47,0.67,66
cand02320,89.46,0.67,68
cand01161,89.42,0.67,74
cand02268,89.39,0.62,68
cand01926,89.39,0.66,65
cand02094,89.39,0.65,72
cand01124,89.39,0.72,67
cand00369,89.38,0.64,74
cand00528,89.37,0.46,84
cand00976,89.36,0.66,73
cand00249,89.36,0.73,82
cand00804,89.35,0.64,74
cand00853,89.33,0.77,85
cand00664,89.33,0.71,67
cand02462,89.33,0.64,68
cand01117,89.3,0.76,80
cand02054,89.29,0.68,80
cand00797,89.28,0.73,80
cand00678,89.27,0.72,80
cand01540,89.26,0.64,65
cand00735,89.25,0.75,80
cand01314,89.23,0.61,85
cand00353,89.22,0.71,72
cand02328,89.21,0.61,74
cand02479,89.21,0.68,80
cand01050,89.21,0.71,67
cand01512,89.21,0.71,67
cand01009,89.2,0.72,67
cand00446,89.2,0.78,79
cand00135,89.19,0.71,80
cand02288,89.19,0.69,76
cand00909,89.19,0.68,67
cand00038,89.14,0.75,83
cand00925,89.13,0.71,67
cand00456,89.11,0.71,80
cand01019,89.1,0.72,67
cand01247,89.09,0.72,67
cand02037,89.08,0.66,65
cand00982,89.08,0.71,73
cand00351,89.07,0.73,83
cand01366,89.06,0.63,85
cand02085,89.06,0.67,65
cand00568,89.04,0.73,72
cand00504,89.04,0.71,80
cand00419,89.01,0.71,84
cand02175,89.01,0.7,76
cand01790,89.0,0.72,80
cand00044,88.99,0.7,66
cand00819,88.99,0.7,80
cand00497,88.96,0.73,74
cand00046,88.93,0.68,66
cand01130,88.93,0.7,80
cand01386,88.91,0.68,79
cand00474,88.91,0.72,79
cand00746,88.89,0.75,80
cand02312,88.89,0.61,74
cand01497,88.89,0.65,79
cand00970,88.88,0.75,85
cand00674,88.87,0.74,80
cand02363,88.87,0.66,68
cand02452,88.86,0.63,68
cand00250,88.86,0.7,72
cand01930,88.84,0.71,75
cand01938,88.84,0.72,75
cand01894,88.84,0.7,79
cand01963,88.79,0.72,75
cand01644,88.76,0.71,67
cand01741,88.75,0.69,65
cand01465,88.74,0.66,80
cand01449,88.74,0.66,65
cand01162,88.74,0.58,79
cand01735,88.74,0.63,65
cand02217,88.73,0.63,67
cand00559,88.73,0.72,80
cand00947,88.71,0.46,74
cand01445,88.68,0.66,67
cand01629,88.68,0.66,79
cand00644,88.67,0.7,80
cand02253,88.67,0.66,80
cand00179,88.66,0.76,80
cand02138,88.65,0.65,80
cand01144,88.64,0.63,84
cand01429,88.61,0.61,85
cand01972,88.6,0.68,81
cand01797,88.6,0.66,79
cand00517,88.59,0.73,82
cand02420,88.58,0.66,68
cand00438,88.58,0.55,74
cand01670,88.58,0.66,65
cand01896,88.57,0.68,65
cand01632,88.56,0.65,80
cand01914,88.56,0.68,65
cand00732,88.53,0.7,72
cand01066,88.53,0.78,85
cand02416,88.51,0.63,68
cand02365,88.51,0.61,70
cand00524,88.51,0.71,80
cand00388,88.49,0.72,79
cand01494,88.47,0.66,80
cand02237,88.46,0.68,67
cand00656,88.45,0.65,67
cand02367,88.42,0.63,68
cand01390,88.41,0.69,79
cand02282,88.4,0.48,74
cand02448,88.38,0.64,68
cand01158,88.38,0.73,85
cand02377,88.36,0.58,68
cand01240,88.36,0.47,84
cand01833,88.34,0.72,65
cand00527,88.32,0.73,72
cand01227,88.32,0.76,85
cand01201,88.31,0.64,65
cand01814,88.29,0.69,79
cand01515,88.29,0.65,65
cand02453,88.28,0.63,68
cand00282,88.28,0.74,74
cand02046,88.25,0.65,65
cand00298,88.23,0.67,66
cand00001,88.21,0.71,78
cand00123,88.21,0.75,83
cand01944,88.2,0.55,72
cand01708,88.19,0.65,79
cand02132,88.18,0.64,81
cand00101,88.16,0.72,83
cand00634,88.16,0.68,80
cand02247,88.15,0.5,74
cand01882,88.14,0.64,79
cand01142,88.14,0.68,75
cand01551,88.11,0.67,65
cand00993,88.1,0.69,72
cand01346,88.08,0.64,65
cand01905,88.05,0.66,65
cand01084,88.04,0.75,80
cand00596,88.02,0.46,71
cand00998,88.02,0.77,85
cand02449,88.02,0.63,68
cand00251,88.01,0.69,65
cand01496,87.99,0.67,65
cand02066,87.96,0.69,65
cand02474,87.93,0.69,80
cand00450,87.93,0.7,82
cand02232,87.92,0.69,81
cand00200,87.9,0.72,72
cand00751,87.89,0.73,80
cand00795,87.89,0.71,80
cand00703,87.89,0.68,80
cand01052,87.86,0.7,67
cand01355,87.85,0.63,65
cand00095,87.82,0.68,79
cand01226,87.81,0.64,79
cand01990,87.79,0.64,75
cand00557,87.79,0.74,82
cand01602,87.79,0.46,72
cand00771,87.78,0.73,82
cand01576,87.77,0.64,80
cand02246,87.77,0.68,76
cand01577,87.73,0.56,79
cand01119,87.71,0.74,80
cand01909,87.71,0.7,75
cand01890,87.69,0.66,65
cand00418,87.68,0.54,74
cand00704,87.67,0.45,84
cand01841,87.66,0.68,75
cand00849,87.64,0.67,71
cand00121,87.63,0.66,66
cand00311,87.61,0.68,80
cand02447,87.59,0.66,71
cand01378,87.58,0.67,75
cand02423,87.58,0.61,68
cand01592,87.57,0.59,67
cand00000,87.55,0.7,78
cand00164,87.54,0.7,79
cand01612,87.53,0.62,79
cand02007,87.52,0.67,75
cand00893,87.52,0.66,79
cand00108,87.5,0.7,83
cand01100,87.49,0.66,71
cand01523,87.44,0.69,79
cand01123,87.44,0.71,71
cand01936,87.43,0.63,80
cand00384,87.42,0.75,79
cand00977,87.41,0.5,74
cand00140,87.4,0.7,65
cand01115,87.38,0.78,85
cand02317,87.38,0.63,70
cand00035,87.36,0.64,66
cand01928,87.36,0.63,80
cand01676,87.34,0.66,79
cand00821,87.34,0.68,72
cand00413,87.33,0.7,85
cand00974,87.31,0.52,65
cand01971,87.3,0.66,80
cand00675,87.27,0.75,80
cand01303,87.27,0.63,67
cand00412,87.26,0.54,72
cand01358,87.23,0.61,79
cand00822,87.21,0.69,80
cand01447,87.18,0.64,80
cand01279,87.18,0.67,75
cand02435,87.17,0.62,68
cand01647,87.15,0.64,80
cand00808,87.14,0.72,80
cand00533,87.13,0.71,72
cand02240,87.12,0.66,67
cand00192,87.11,0.6,71
cand01301,87.1,0.63,79
cand02476,87.05,0.43,80
cand02080,87.03,0.63,65
cand01823,86.97,0.49,76
cand01668,86.96,0.69,67
cand01715,86.95,0.67,75
cand00196,86.94,0.7,65
cand01701,86.94,0.63,65
cand01587,86.92,0.66,79
cand01749,86.92,0.69,75
cand01071,86.9,0.59,79
cand00296,86.84,0.7,83
cand02430,86.81,0.61,68
cand00572,86.79,0.65,80
cand01714,86.79,0.62,79
cand02442,86.78,0.61,68
cand01431,86.76,0.68,75
cand00534,86.73,0.68,84
cand00245,86.73,0.68,84
cand01420,86.72,0.68,67
cand00138,86.52,0.6,83
cand00493,86.51,0.69,72
cand02456,86.46,0.58,68
cand02454,86.43,0.58,68
cand00655,86.42,0.66,73
cand00594,86.4,0.7,65
cand02043,86.4,0.68,65
cand00159,86.39,0.76,83
cand01863,86.39,0.65,65
cand01958,86.26,0.62,80
cand01594,86.25,0.65,81
cand00684,86.24,0.68,80
cand00896,86.23,0.6,79
cand00183,86.19,0.68,65
cand01653,86.19,0.66,75
cand00641,86.12,0.7,80
cand00176,86.11,0.69,82
cand01478,86.1,0.64,67
cand01242,86.06,0.68,67
cand00532,86.05,0.71,80
cand00511,86.05,0.65,65
cand02221,86.03,0.63,80
cand02361,86.0,0.65,70
cand00748,85.99,0.47,84
cand01291,85.99,0.66,71
cand01859,85.95,0.63,65
cand01444,85.92,0.61,65
cand01994,85.91,0.57,72
cand00809,85.91,0.72,83
cand02397,85.89,0.47,70
cand00426,85.88,0.67,65
cand00614,85.85,0.66,72
cand00975,85.84,0.65,85
cand01021,85.84,0.58,67
cand00854,85.8,0.68,65
cand01166,85.8,0.6,79
cand02294,85.74,0.59,80
cand01028,85.72,0.72,80
cand01952,85.66,0.54,79
cand02355,85.64,0.45,70
cand01953,85.63,0.64,79
cand00399,85.62,0.68,65
cand01321,85.61,0.6,65
cand00272,85.56,0.68,81
cand02443,85.53,0.58,68
cand01880,85.53,0.61,65
cand02024,85.5,0.59,80
cand02332,85.48,0.59,65
cand01725,85.47,0.62,79
cand00831,85.43,0.66,67
cand00361,85.43,0.7,72
cand02450,85.41,0.62,68
cand01986,85.38,0.63,65
cand01099,85.37,0.68,79
cand00257,85.31,0.53,74
cand00711,85.3,0.67,80
cand02142,85.28,0.6,75
cand00258,85.26,0.61,66
cand00994,85.25,0.67,67
cand01593,85.25,0.6,79
cand00378,85.23,0.67,79
cand02140,85.18,0.65,75
cand00422,85.14,0.68,80
cand00742,85.13,0.63,80
cand00069,85.13,0.64,82
cand00367,85.13,0.64,80
cand01365,85.09,0.66,71
cand01455,85.08,0.71,83
cand01702,85.08,0.55,67
cand00638,85.05,0.73,80
cand00780,85.04,0.7,84
cand00799,85.04,0.67,72
cand01813,85.03,0.64,75
cand01618,85.02,0.64,79
cand00110,85.0,0.67,81
cand02161,85.0,0.6,80
cand01982,84.95,0.64,75
cand01268,84.93,0.47,79
cand01852,84.89,0.65,75
cand01819,84.88,0.63,65
cand01658,84.88,0.63,75
cand01545,84.83,0.62,75
cand02458,84.82,0.54,68
cand00828,84.8,0.67,80
cand00781,84.79,0.66,72
cand00234,84.78,0.68,80
cand00442,84.78,0.68,79
cand01410,84.74,0.6,79
cand00761,84.73,0.67,80
cand00358,84.64,0.64,82
