cand,ipsae_min,sc_dockq,bsa,ddg,dSASA,cms,nres,irms,Lrms,fnat,ncontact,consensus_pass
cand01441,0.5831,0.712,951.9,-46.61,1797.8,440.3,69,1.27,3.725,0.714,91,0
cand00199,0.5824,0.076,671.4,-32.74,1267.4,274.1,52,11.447,24.14,0.1,64,0
cand01741,0.5820,0.337,834.8,-34.00,1574.7,287.0,65,2.419,5.127,0.0,77,0
cand01821,0.5807,,883.0,-37.82,1677.1,319.4,63,,,,78,0
cand01826,0.5805,0.83,1079.2,-43.69,2034.3,420.4,75,0.752,1.275,0.714,98,0
cand01183,0.5774,0.78,1022.7,-55.04,1924.6,468.5,80,0.935,2.73,0.714,96,0
cand02086,0.5774,0.874,909.5,-46.10,1721.0,400.7,70,0.773,1.362,0.857,89,0
cand02061,0.5759,0.028,979.1,-50.73,1813.7,410.3,72,8.763,35.003,0.0,86,0
cand01325,0.5759,0.021,636.6,-25.90,1197.5,247.9,43,16.376,34.884,0.0,50,0
cand00639,0.5756,0.264,860.1,-30.67,1662.4,363.0,66,5.023,12.0,0.375,77,0
cand02231,0.5723,,943.0,-47.11,1781.6,402.8,67,,,,87,0
cand01128,0.5722,,761.0,-33.03,1381.9,288.1,58,,,,76,0
cand00963,0.5709,0.108,730.9,-40.66,1383.4,339.9,50,5.861,14.256,0.0,58,0
cand02382,0.5704,,737.3,-35.05,1369.7,297.1,54,,,,57,0
cand02340,0.5680,0.122,738.3,-38.32,1392.8,316.3,54,8.544,20.411,0.188,65,0
cand01705,0.5677,0.117,890.2,-43.14,1674.7,368.0,65,4.153,15.346,0.0,89,0
cand01487,0.5670,0.668,990.6,-43.43,1833.3,347.5,64,1.09,4.329,0.556,84,0
cand02107,0.5665,0.016,496.9,-17.21,922.1,200.3,40,13.503,43.313,0.0,43,0
cand01684,0.5656,,897.3,-37.23,1693.1,361.5,65,,,,77,0
cand02425,0.5638,0.136,758.7,-34.63,1383.4,283.3,51,7.423,18.095,0.188,70,0
cand02447,0.5634,0.644,998.0,-53.85,1858.6,435.3,77,1.168,4.121,0.5,93,0
cand02290,0.5633,,631.8,-29.59,1177.5,292.1,53,,,,66,0
cand01384,0.5623,0.328,811.1,-34.30,1551.5,337.1,65,2.533,5.242,0.0,79,0
cand00873,0.5606,0.851,673.7,-35.25,1252.5,275.9,54,0.776,2.743,0.857,66,0
cand01058,0.5598,0.54,856.7,-34.95,1596.4,325.4,63,1.459,4.626,0.333,70,0
cand02424,0.5597,0.84,877.6,-42.86,1619.6,328.6,62,1.072,3.451,1.0,71,0
cand01999,0.5595,0.852,1061.9,-56.24,2070.9,493.3,85,0.766,2.724,0.857,96,0
cand02333,0.5587,0.01,331.4,294.06,592.5,100.7,17,23.653,51.805,0.0,23,0
cand00233,0.5582,0.015,848.9,8745.90,1598.6,298.8,57,14.89,45.155,0.0,86,0
cand02144,0.5561,,830.2,-34.42,1534.6,276.6,67,,,,74,0
cand01145,0.5557,0.079,954.7,-47.21,1806.8,383.5,71,7.479,25.574,0.1,89,0
cand02220,0.5550,,880.0,-42.51,1688.5,338.9,67,,,,88,0
cand00857,0.5514,0.331,798.9,-22.45,1447.9,265.6,61,2.816,8.145,0.25,72,0
cand01454,0.5497,0.432,896.7,-47.58,1682.5,387.9,72,2.88,12.847,0.778,80,0
cand01353,0.5489,0.023,973.5,-36.68,1804.9,382.4,66,9.459,39.558,0.0,85,0
cand01402,0.5471,0.032,447.7,-17.18,868.0,158.9,32,13.975,28.134,0.0,34,0
cand02072,0.5464,0.53,942.9,-49.23,1755.0,417.3,68,2.568,6.619,0.714,84,0
cand02111,0.5440,,683.6,-24.13,1253.3,222.5,42,,,,54,0
cand00692,0.5434,0.014,311.1,-6.97,557.5,86.1,23,22.842,42.273,0.0,21,0
cand00593,0.5417,0.044,880.7,-42.19,1692.1,360.3,62,13.617,23.111,0.0,74,0
cand00715,0.5413,0.605,890.6,-47.77,1692.1,373.2,71,1.827,4.082,0.6,85,0
cand00927,0.5401,0.166,702.1,-28.87,1268.0,247.4,51,5.55,12.827,0.125,60,0
cand00473,0.5384,,856.5,-43.46,1550.5,370.0,67,,,,93,0
cand01915,0.5365,0.518,887.1,-48.55,1703.0,415.1,70,1.872,5.107,0.429,79,0
cand01618,0.5358,0.418,913.2,-36.17,1692.3,327.2,67,2.869,6.391,0.4,84,0
cand00790,0.5342,0.892,874.0,-36.32,1683.0,396.2,67,0.878,2.305,1.0,85,0
cand01716,0.5321,0.873,1019.7,-47.39,1863.0,419.3,77,0.797,1.176,0.857,90,0
cand02384,0.5296,0.133,847.5,-46.35,1566.6,356.5,53,7.322,18.796,0.188,77,0
cand02394,0.5284,0.554,845.1,-44.27,1572.4,331.3,71,1.815,4.817,0.5,74,0
cand01160,0.5265,0.364,929.3,-49.78,1755.4,413.2,73,3.417,7.605,0.375,96,0
cand02426,0.5263,0.864,885.3,-36.81,1644.7,354.0,62,1.01,2.758,1.0,78,0
cand02163,0.5245,0.918,1113.3,-58.25,2144.7,462.1,77,0.747,1.864,1.0,100,0
cand00222,0.5236,0.025,362.8,-12.18,650.6,120.5,31,9.453,37.105,0.0,27,0
cand00784,0.5233,0.278,731.9,-27.92,1369.2,300.3,67,3.268,12.238,0.333,70,0
cand02294,0.5229,0.866,1081.0,-55.52,2116.3,528.8,80,1.069,2.25,1.0,107,0
cand02166,0.5227,0.703,904.9,-40.83,1727.4,350.6,69,1.383,3.523,0.714,87,0
cand01301,0.5107,0.015,716.4,-31.65,1339.1,279.9,54,13.09,46.202,0.0,59,0
cand00207,0.5101,0.519,901.4,-35.45,1681.3,344.5,63,2.395,4.568,0.5,83,0
cand01837,0.5096,0.639,938.4,-54.60,1731.5,411.0,67,2.091,5.317,0.857,87,0
cand00780,0.5087,0.659,846.9,-37.50,1602.6,306.4,63,1.541,3.921,0.667,73,0
cand01211,0.5049,0.371,927.8,-40.96,1707.7,332.4,68,2.822,11.943,0.556,80,0
cand01577,0.5048,0.652,867.9,-40.47,1622.5,316.2,64,1.383,4.916,0.667,75,0
cand01843,0.5023,0.847,913.1,-44.03,1718.0,374.9,72,1.183,2.435,1.0,96,0
cand00386,0.5010,0.456,893.0,-45.21,1702.5,357.4,64,2.647,6.588,0.5,89,0
cand00751,0.4999,0.071,878.5,-38.25,1646.7,311.6,65,8.343,17.954,0.0,66,0
cand01298,0.4996,0.027,652.1,-36.42,1222.8,268.1,59,13.802,31.108,0.0,63,0
cand00157,0.4996,0.04,545.8,1098.66,1031.9,210.0,39,9.317,26.228,0.0,54,0
cand01957,0.4985,0.302,876.4,-40.27,1657.8,360.4,58,4.162,17.413,0.6,73,0
cand01888,0.4978,0.787,1143.0,-62.19,2148.7,495.1,82,1.317,2.138,0.857,104,0
cand00681,0.4967,0.048,707.1,-38.06,1357.2,300.6,52,8.645,23.595,0.0,61,0
cand02257,0.4957,,664.6,-28.41,1242.0,275.8,57,,,,61,0
cand00573,0.4948,0.581,771.9,-38.45,1477.8,314.9,66,1.814,5.946,0.667,79,0
cand02439,0.4938,0.126,783.2,-31.31,1493.7,303.4,54,8.113,19.604,0.188,63,0
cand02415,0.4926,0.117,828.0,-33.02,1543.9,342.1,56,8.909,21.513,0.188,66,0
cand01638,0.4880,0.688,982.2,-48.70,1794.1,423.1,69,1.353,4.269,0.714,95,0
cand02327,0.4873,0.026,1013.3,-45.29,1912.6,399.8,78,13.182,31.897,0.0,103,0
cand02114,0.4872,0.334,797.7,-38.52,1507.3,328.6,62,4.487,16.941,0.7,72,0
cand01011,0.4868,0.75,782.9,-36.00,1441.2,323.2,65,1.699,4.079,1.0,75,0
cand00957,0.4862,0.7,875.6,-35.81,1570.7,339.8,67,1.212,2.899,0.6,81,0
cand00915,0.4832,0.816,748.1,-36.17,1370.6,295.4,52,0.992,2.906,0.857,67,0
cand02180,0.4822,0.026,924.8,-33.88,1744.3,343.8,60,9.906,35.167,0.0,78,0
cand00244,0.4815,0.448,904.0,-34.31,1708.3,356.9,73,2.78,5.681,0.429,82,0
cand01312,0.4784,0.02,956.5,-48.37,1775.9,414.9,64,9.925,42.22,0.0,89,0
cand02206,0.4757,,892.9,-38.07,1655.4,336.7,68,,,,83,0
cand02469,0.4748,0.877,1016.4,-41.98,1880.0,406.9,68,0.864,3.142,1.0,87,0
cand00757,0.4746,0.74,826.7,-35.26,1560.2,296.1,64,1.182,2.237,0.667,75,0
cand00486,0.4742,0.857,961.1,-48.61,1815.7,433.6,81,0.817,1.562,0.833,100,0
cand02462,0.4653,0.062,795.3,-39.17,1493.4,299.1,50,8.232,19.867,0.0,73,0
cand01161,0.4646,0.034,745.5,-39.28,1390.2,272.0,51,11.958,27.738,0.0,61,0
cand00843,0.4635,0.798,694.7,-34.36,1324.0,270.7,53,0.872,2.298,0.714,62,0
cand00738,0.4612,0.053,766.7,-33.42,1414.7,307.2,70,10.672,21.106,0.0,71,0
cand01110,0.4596,0.05,867.6,-38.51,1639.5,310.6,68,14.292,21.186,0.0,72,0
cand01501,0.4593,0.829,972.1,-46.55,1808.5,383.8,74,0.729,3.175,0.8,97,0
cand00450,0.4586,0.202,906.7,-37.86,1677.6,308.7,63,4.726,11.063,0.143,79,0
cand02035,0.4580,0.478,930.4,-44.23,1722.4,385.5,72,2.363,7.313,0.571,81,0
cand01090,0.4551,,739.3,-32.00,1381.6,272.3,57,,,,69,0
cand00707,0.4511,0.131,866.1,-40.81,1623.0,344.7,60,5.575,12.241,0.0,82,0
cand01228,0.4482,0.046,959.5,-49.48,1819.1,437.1,70,13.534,22.296,0.0,82,0
cand02302,0.4448,0.262,731.6,-40.64,1371.4,312.7,64,3.033,9.443,0.143,68,0
cand01519,0.4437,0.805,929.8,-45.43,1724.8,353.9,68,0.941,4.273,0.9,90,0
cand01516,0.4420,0.391,973.4,-44.14,1827.9,367.3,69,2.717,10.788,0.556,81,0
cand01720,0.4401,0.05,816.8,-33.84,1479.9,277.6,55,6.878,24.913,0.0,65,0
cand02281,0.4386,0.761,963.9,-45.29,1834.2,416.3,71,1.073,3.261,0.75,92,0
cand02226,0.4358,0.294,853.6,-53.00,1613.4,409.2,70,2.785,8.284,0.143,91,0
cand00346,0.4356,0.325,843.1,-34.87,1528.0,275.4,68,3.015,6.45,0.143,78,0
cand02235,0.4340,0.474,800.3,-38.43,1557.6,329.2,64,2.205,5.869,0.429,74,0
cand01237,0.4299,0.872,1099.6,-51.96,2095.7,439.0,77,0.785,1.388,0.857,101,0
cand01045,0.4298,0.132,819.6,-40.06,1558.5,339.4,69,4.797,12.78,0.0,76,0
cand00227,0.4258,0.675,989.6,-47.85,1854.8,429.3,68,1.256,2.186,0.5,87,0
cand01499,0.4199,0.025,883.8,-37.65,1637.8,333.3,65,8.829,37.855,0.0,73,0
cand02456,0.4170,0.132,777.6,-31.88,1427.2,275.0,51,7.804,18.572,0.188,62,0
cand00452,0.4158,0.2,660.5,-26.14,1233.6,228.5,45,3.116,10.138,0.0,53,0
cand02339,0.4154,0.048,818.6,-35.73,1475.9,324.5,58,7.73,24.449,0.0,76,0
cand02335,0.4145,0.063,765.5,-22.60,1400.4,236.5,49,8.283,19.745,0.0,58,0
cand00508,0.4134,0.623,803.3,-39.34,1435.5,300.0,59,1.406,3.735,0.5,66,0
cand00588,0.4092,0.9,923.0,-45.36,1749.8,378.7,73,0.649,1.81,0.9,91,0
cand01358,0.4007,0.062,775.4,-35.39,1410.8,286.5,52,8.852,33.78,0.1,71,0
cand01155,0.3958,0.072,820.6,-36.56,1520.5,289.6,64,8.299,17.916,0.0,73,0
cand01758,0.3914,0.02,844.1,-33.33,1592.4,306.8,64,13.561,37.714,0.0,85,0
cand01214,0.3905,0.025,843.2,-43.34,1591.4,351.2,58,9.594,37.114,0.0,73,0
cand02097,0.3885,0.671,819.7,-43.10,1562.0,364.2,68,1.45,4.507,0.714,86,0
cand00021,0.3883,0.034,562.2,-19.77,1059.8,198.9,42,13.67,26.904,0.0,45,0
cand00970,0.3879,0.059,573.3,-20.60,1037.9,219.7,49,7.705,20.949,0.0,54,0
cand00913,0.3839,0.392,783.9,-41.00,1452.4,309.8,74,3.125,7.086,0.4,83,0
cand01778,0.3812,0.847,952.4,-45.53,1777.5,414.2,70,0.982,1.617,0.875,84,0
cand02393,0.3810,0.81,950.1,-49.67,1795.1,389.5,85,0.809,2.098,0.714,95,0
cand00020,0.3772,0.034,808.0,-35.45,1483.8,274.6,64,14.378,26.728,0.0,68,0
cand02065,0.3764,0.626,950.7,-37.55,1755.0,368.4,66,1.458,4.368,0.571,89,0
cand02204,0.3706,0.122,781.3,-40.24,1462.0,306.5,57,8.302,20.595,0.188,71,0
cand00517,0.3685,0.681,836.1,-28.29,1535.2,285.7,69,1.227,3.245,0.571,72,0
cand02031,0.3680,0.72,841.8,-40.41,1578.2,324.2,64,1.366,2.626,0.7,80,0
cand01682,0.3659,,907.1,-41.35,1682.9,354.4,65,,,,84,0
cand01457,0.3621,0.582,794.1,-33.02,1495.5,320.2,58,2.134,5.531,0.714,70,0
cand02376,0.3605,0.129,968.0,-48.67,1755.6,409.0,58,7.518,19.316,0.188,82,0
cand00013,0.3596,0.562,766.6,-38.43,1438.3,314.4,65,2.167,6.455,0.727,74,0
cand02045,0.3550,0.029,904.5,-53.92,1695.8,430.3,66,15.803,29.056,0.0,84,0
cand01614,0.3526,,893.6,-40.39,1686.9,315.6,62,,,,85,0
cand01192,0.3511,0.732,854.0,-39.76,1609.1,315.0,71,1.316,3.854,0.8,76,0
cand02404,0.3506,0.091,687.8,-34.38,1254.8,284.6,56,6.208,16.141,0.0,59,0
cand00887,0.3496,0.394,832.2,-35.70,1544.3,306.7,69,3.146,6.62,0.375,80,0
cand00865,0.3467,0.674,617.9,-33.37,1184.4,259.1,48,1.613,5.556,0.857,57,0
cand02027,0.3465,0.635,841.8,-42.41,1581.4,342.3,67,1.658,3.083,0.571,89,0
cand01075,0.3424,0.236,855.3,-32.23,1596.2,283.1,58,3.828,9.724,0.143,72,0
cand00277,0.3393,0.038,609.8,-29.00,1102.3,229.2,48,11.898,25.625,0.0,61,0
cand02292,0.3365,0.24,831.8,-31.74,1567.9,297.3,61,3.597,9.468,0.125,65,0
cand00571,0.3351,,705.9,-29.19,1306.5,241.2,56,,,,59,0
cand01925,0.3345,0.482,829.7,-36.06,1578.0,289.9,67,2.251,5.054,0.4,75,0
cand00778,0.3308,0.063,791.7,-24.89,1472.9,227.9,55,8.558,19.574,0.0,62,0
cand02280,0.3281,0.878,1054.4,-46.16,2008.8,427.1,77,0.936,2.593,1.0,94,0
cand01810,0.3260,0.705,825.7,-40.34,1562.5,340.9,65,1.295,2.078,0.6,78,0
cand01279,0.3203,0.042,924.2,-43.69,1716.7,363.2,68,13.739,23.788,0.0,79,0
cand00531,0.3169,0.051,495.6,-17.28,929.4,151.4,47,9.459,22.07,0.0,48,0
cand01491,0.3138,0.03,594.3,-25.60,1098.8,207.7,41,14.435,28.744,0.0,50,0
cand01038,0.3127,0.022,481.3,-18.36,905.4,129.8,30,9.488,41.497,0.0,41,0
cand00670,0.3071,0.041,811.1,-29.75,1481.3,269.5,61,12.23,24.48,0.0,73,0
cand00820,0.3066,0.078,585.7,-24.34,1102.1,191.8,48,5.824,18.573,0.0,62,0
cand01919,0.3047,0.721,895.1,-43.87,1629.6,384.1,65,1.308,3.133,0.714,77,0
cand02464,0.3019,0.839,826.4,-35.93,1525.8,349.9,67,1.013,1.819,0.875,81,0
cand02194,0.3017,0.182,766.2,-34.40,1436.1,325.6,64,4.577,12.248,0.125,73,0
cand01439,0.3004,0.349,1001.9,-47.69,1908.0,394.0,77,3.19,9.111,0.4,97,0
cand01129,0.2984,0.491,683.9,-35.86,1279.2,264.2,57,2.744,7.269,0.667,65,0
cand02448,0.2980,0.09,731.8,-29.14,1362.2,274.5,54,7.706,18.766,0.062,61,0
cand02017,0.2974,0.793,1002.8,-46.06,1898.0,393.8,78,0.885,2.456,0.714,90,0
cand00590,0.2939,0.041,818.1,-42.52,1532.6,345.2,69,11.694,24.69,0.0,81,0
cand01180,0.2934,0.176,823.0,-41.12,1505.0,349.4,67,3.855,10.488,0.0,80,0
cand01242,0.2918,0.832,958.9,-43.74,1826.6,395.9,71,0.897,1.737,0.8,94,0
cand02357,0.2916,0.108,714.1,-30.33,1362.2,285.8,49,7.719,19.214,0.125,63,0
cand01430,0.2899,0.32,780.4,-33.89,1451.3,273.8,59,2.641,7.35,0.143,66,0
cand01567,0.2888,0.103,1135.8,-60.78,2118.5,448.0,73,6.067,20.176,0.1,103,0
cand02258,0.2865,0.581,899.9,-38.86,1668.4,332.9,65,1.511,3.254,0.375,76,0
cand00931,0.2863,0.811,724.4,-34.91,1400.5,276.7,57,0.966,3.314,0.857,58,0
cand00906,0.2765,0.345,854.6,-35.66,1606.1,321.1,67,3.762,8.114,0.375,78,0
cand00834,0.2754,0.104,850.8,-23.02,1564.7,285.6,60,7.11,14.024,0.0,84,0
cand01111,0.2736,,706.5,-25.70,1304.2,249.5,51,,,,59,0
cand01543,0.2687,0.766,943.2,-49.50,1764.1,426.6,73,0.908,3.552,0.714,87,0
cand01246,0.2671,0.027,758.7,-45.87,1463.4,327.6,67,13.57,31.514,0.0,84,0
cand02398,0.2658,0.09,719.3,-25.54,1329.8,299.6,53,7.709,18.706,0.062,65,0
cand00271,0.2654,0.244,512.3,-18.60,936.3,150.5,46,3.73,7.054,0.0,40,0
cand00801,0.2620,0.063,911.3,-40.31,1739.5,387.7,60,6.477,21.181,0.0,78,0
cand02004,0.2575,0.531,848.5,-35.10,1589.2,381.9,64,1.822,4.781,0.429,86,0
cand01489,0.2572,0.09,852.7,-34.27,1566.3,289.3,68,6.448,23.031,0.1,77,0
cand01841,0.2554,0.162,939.4,-50.00,1819.5,440.2,74,3.847,11.482,0.0,101,0
cand00272,0.2537,0.295,737.2,-36.44,1367.9,311.0,62,3.988,10.478,0.364,75,0
cand01942,0.2535,0.214,860.0,-33.38,1539.5,300.9,64,3.343,8.946,0.0,87,0
cand00405,0.2521,0.438,724.9,-27.05,1350.6,296.0,51,2.625,7.405,0.5,68,0
cand00389,0.2504,0.112,525.7,-13.65,970.1,140.7,43,6.527,20.73,0.143,41,0
cand02105,0.2489,0.362,1022.7,-46.97,1874.3,413.9,78,2.844,9.595,0.429,100,0
cand00033,0.2486,0.429,953.2,-37.91,1825.4,353.6,74,2.971,6.544,0.455,90,0
cand02314,0.2467,0.357,900.9,-43.71,1694.7,366.2,71,2.79,6.985,0.25,94,0
cand02459,0.2447,0.085,744.1,-33.35,1383.7,281.0,48,8.197,19.414,0.062,65,0
cand01343,0.2438,0.027,481.6,-8.31,891.1,111.9,34,8.788,36.382,0.0,38,0
cand02413,0.2422,0.127,814.1,-40.15,1496.2,330.4,55,7.759,19.747,0.188,67,0
cand00328,0.2387,0.736,765.7,-32.68,1494.7,295.8,56,1.132,5.378,0.857,67,0
cand00630,0.2387,0.047,759.6,-31.14,1421.4,287.1,58,11.19,22.57,0.0,68,0
cand00727,0.2382,,679.0,-27.63,1286.1,235.5,55,,,,68,0
cand00433,0.2346,0.043,721.4,-28.41,1392.6,254.9,53,10.55,24.343,0.0,59,0
cand01634,0.2325,0.038,925.9,-40.90,1738.6,349.2,66,7.788,29.425,0.0,87,0
cand00303,0.2304,0.158,1023.4,-37.45,1900.1,352.5,68,4.677,10.807,0.0,92,0
cand02379,0.2279,0.056,924.1,-40.83,1740.6,386.3,67,13.98,30.529,0.083,83,0
cand01147,0.2265,0.021,917.8,-46.56,1699.5,348.0,61,14.362,36.281,0.0,72,0
cand02106,0.2227,0.016,588.9,-10.89,1044.5,221.0,38,12.993,44.611,0.0,38,0
cand02073,0.2211,0.054,731.1,-25.08,1383.8,257.7,55,11.122,20.674,0.0,63,0
cand01586,0.2210,0.021,740.7,-33.08,1411.9,274.5,64,13.953,35.955,0.0,68,0
cand00903,0.2206,0.073,602.1,-25.65,1124.1,186.5,48,7.497,18.062,0.0,43,0
cand02427,0.2204,0.772,1026.4,-44.86,1940.8,384.3,72,1.352,4.719,1.0,90,0
cand00792,0.2185,0.016,57.8,11.35,100.6,13.9,3,16.396,42.202,0.0,2,0
cand00324,0.2131,0.289,763.4,-20.57,1393.6,219.1,54,3.498,9.151,0.25,71,0
cand02164,0.2123,0.775,831.7,-40.38,1600.2,332.0,71,1.058,2.117,0.714,77,0
cand02254,0.2115,,651.8,-29.00,1205.4,245.9,53,,,,64,0
cand00042,0.2100,0.54,817.5,-28.93,1532.3,314.2,65,1.976,3.92,0.429,75,0
cand00562,0.2064,0.04,845.6,-37.61,1607.8,363.7,57,11.506,24.864,0.0,74,0
cand02183,0.2061,0.016,1057.0,-48.13,1967.3,354.4,79,13.044,44.265,0.0,95,0
cand02334,0.2060,0.028,809.8,-32.01,1484.3,277.3,55,11.141,31.875,0.0,70,0
cand02168,0.2054,0.369,899.8,-36.46,1645.4,293.2,62,2.771,6.506,0.25,82,0
cand00796,0.2027,0.038,579.9,-29.64,1119.9,279.5,43,12.458,25.386,0.0,49,0
cand01355,0.2015,0.522,763.7,-28.07,1437.5,302.5,60,2.214,4.891,0.5,74,0
cand01793,0.2014,0.05,812.5,-32.39,1542.8,276.8,67,14.379,21.007,0.0,74,0
cand01212,0.2009,0.173,749.1,-30.33,1412.2,338.5,56,4.264,10.247,0.0,73,0
cand01085,0.2007,0.06,739.1,-24.58,1399.1,224.2,63,10.873,19.447,0.0,70,0
cand02078,0.1957,0.711,1062.0,-51.76,2039.8,449.9,81,1.223,4.027,0.714,105,0
cand00016,0.1956,0.61,925.8,-46.87,1746.4,409.9,64,1.513,3.779,0.5,93,0
cand01835,0.1945,,823.7,-41.51,1538.1,339.6,65,,,,82,0
cand00892,0.1943,0.218,577.8,-17.04,1044.7,183.5,45,3.933,8.06,0.0,45,0
cand00933,0.1938,0.436,787.4,-44.07,1509.1,307.9,64,2.271,5.936,0.333,71,0
cand00086,0.1928,0.064,687.9,-30.70,1287.4,259.6,65,8.776,19.249,0.0,79,0
cand01177,0.1892,0.059,743.0,-26.25,1416.0,239.1,47,9.157,41.209,0.111,62,0
cand00214,0.1888,0.166,910.5,-35.83,1672.8,292.8,59,4.788,10.255,0.0,68,0
cand00919,0.1885,0.794,775.7,-36.73,1410.7,292.6,61,1.036,1.835,0.75,70,0
cand01294,0.1879,0.023,809.3,-32.80,1537.6,290.1,63,12.608,35.465,0.0,71,0
cand00696,0.1843,0.272,812.7,-28.07,1557.4,282.0,56,3.114,6.56,0.0,62,0
cand01797,0.1819,0.018,956.1,-46.75,1804.9,391.0,68,11.55,42.797,0.0,88,0
cand01362,0.1794,,978.9,-46.33,1881.8,397.6,68,,,,87,0
cand02391,0.1776,0.125,649.5,-24.61,1205.0,221.4,50,8.204,19.774,0.188,56,0
cand01629,0.1772,0.092,862.2,-38.16,1620.3,304.6,60,6.336,22.648,0.1,76,0
cand02420,0.1746,0.067,677.6,-31.09,1261.2,262.3,51,7.884,19.075,0.0,57,0
cand00976,0.1738,0.037,737.5,-34.19,1337.3,273.4,56,12.746,25.854,0.0,73,0
cand01827,0.1731,0.526,837.0,-37.65,1584.4,330.3,66,2.039,6.163,0.571,78,0
cand02096,0.1729,0.054,559.5,-21.17,1083.3,227.9,43,6.846,23.431,0.0,46,0
cand02445,0.1715,0.065,821.4,-34.63,1492.9,290.2,51,8.03,19.434,0.0,62,0
cand00653,0.1707,0.036,647.8,-18.97,1246.9,218.1,57,13.385,26.312,0.0,60,0
cand01477,0.1702,0.508,862.2,-33.01,1539.1,275.3,67,2.182,8.452,0.7,77,0
cand02083,0.1676,0.369,961.2,-32.87,1752.7,350.6,69,2.983,8.929,0.429,81,0
cand02230,0.1666,0.385,791.7,-40.06,1493.0,289.9,65,2.146,4.703,0.062,77,0
cand01727,0.1663,0.364,675.3,-32.27,1267.2,260.3,60,3.618,7.375,0.375,64,0
cand01964,0.1644,0.018,825.7,-32.38,1594.0,292.5,67,12.751,42.183,0.0,71,0
cand00304,0.1640,,619.2,-27.02,1157.2,186.1,49,,,,57,0
cand02063,0.1625,0.021,797.8,-32.29,1489.5,268.9,59,13.756,37.076,0.0,79,0
cand01505,0.1597,0.018,779.5,-28.92,1459.2,310.4,66,12.841,40.954,0.0,69,0
cand00928,0.1596,0.576,767.0,-38.22,1455.6,327.6,65,1.863,6.003,0.667,77,0
cand02467,0.1575,0.14,716.7,-27.60,1315.6,267.3,50,6.498,14.954,0.125,61,0
cand01146,0.1528,,618.2,-22.21,1110.3,201.7,54,,,,46,0
cand00359,0.1502,0.041,813.6,-36.42,1540.8,313.7,59,11.836,24.46,0.0,76,0
cand02128,0.1489,0.309,785.6,-31.05,1442.3,289.9,59,3.183,7.27,0.167,65,0
cand00085,0.1461,0.419,675.8,-29.06,1292.0,270.6,45,2.703,7.052,0.429,55,0
cand02265,0.1445,0.161,712.9,-24.72,1289.9,236.6,50,6.568,14.91,0.188,60,0
cand02416,0.1425,0.095,865.1,-40.56,1590.4,339.5,53,7.173,18.034,0.062,67,0
cand01627,0.1423,,812.8,-35.47,1553.6,294.4,62,,,,73,0
cand01120,0.1406,0.801,943.3,-45.10,1786.4,377.7,66,0.787,2.526,0.7,92,0
cand01594,0.1385,,820.8,-36.37,1531.0,302.3,68,,,,80,0
cand00127,0.1348,0.315,805.7,-32.90,1479.3,285.6,54,4.266,9.002,0.364,70,0
cand01455,0.1337,0.034,795.7,-31.99,1457.0,245.8,52,11.285,27.835,0.0,69,0
cand01746,0.1328,0.782,952.1,-44.14,1827.6,369.6,77,0.741,1.502,0.571,87,0
cand01515,0.1327,0.12,789.6,-36.38,1475.0,333.8,59,6.454,12.711,0.0,71,0
cand01482,0.1321,0.221,955.5,-44.90,1772.9,384.8,67,2.807,11.849,0.1,84,0
cand02191,0.1317,,827.7,-35.25,1568.5,324.4,65,,,,76,0
cand01131,0.1314,,814.7,-39.89,1528.7,323.2,63,,,,75,0
cand01726,0.1306,0.718,806.7,-43.13,1558.1,336.0,63,1.071,2.954,0.6,74,0
cand01203,0.1265,0.224,963.6,-44.52,1787.2,317.1,70,4.619,18.398,0.4,86,0
cand00941,0.1256,0.422,828.2,-34.20,1503.3,262.4,60,3.113,7.27,0.5,64,0
cand01728,0.1256,0.018,744.9,-33.64,1333.8,299.6,60,11.578,42.624,0.0,66,0
cand02219,0.1233,0.025,1006.7,-31.04,1878.0,364.6,75,13.036,33.14,0.0,95,0
cand00618,0.1217,0.038,696.9,-28.32,1306.6,295.2,51,9.899,26.646,0.0,66,0
cand01588,0.1215,0.642,910.7,-45.28,1688.0,362.3,75,1.71,3.907,0.667,90,0
cand00675,0.1212,0.042,849.2,-27.43,1584.8,277.4,66,12.568,24.008,0.0,83,0
cand00444,0.1170,0.743,910.5,-31.27,1696.3,295.6,65,0.998,1.664,0.571,81,0
cand00211,0.1158,0.617,741.0,-24.04,1370.9,234.8,48,1.607,3.707,0.545,62,0
cand01413,0.1154,0.02,954.4,-47.89,1789.6,379.6,68,14.465,36.864,0.0,75,0
cand01486,0.1135,0.045,923.6,-37.83,1768.8,380.9,73,11.805,23.216,0.0,82,0
cand02047,0.1125,0.867,845.2,-38.19,1558.4,344.7,68,0.818,1.422,0.857,87,0
cand01308,0.1117,0.17,1024.7,-48.19,1921.5,453.0,65,5.377,9.603,0.0,94,0
cand01818,0.1109,0.121,766.2,-29.33,1367.3,293.3,55,6.039,24.873,0.2,79,0
cand01198,0.1092,0.022,833.1,-32.95,1586.1,295.5,61,9.942,40.39,0.0,72,0
cand01607,0.1059,,917.3,-57.76,1719.5,409.8,67,,,,81,0
cand00986,0.1059,0.599,713.0,-35.08,1320.3,240.0,47,1.552,5.022,0.571,66,0
cand00316,0.1049,0.652,733.4,-23.53,1371.3,242.9,61,1.923,4.774,0.818,69,0
