cand,method,mean_plddt,ptm
cand02272,SolubleMPNN,94.77,0.74
cand01506,ProteinMPNN,94.77,0.73
cand00383,SolubleMPNN,94.77,0.78
cand01821,SolubleMPNN,94.75,0.75
cand02012,SolubleMPNN,94.74,0.72
cand01326,ProteinMPNN,94.74,0.74
cand00688,ProteinMPNN,94.74,0.77
cand00562,SolubleMPNN,94.73,0.8
cand01763,ProteinMPNN,94.73,0.77
cand00619,SolubleMPNN,94.72,0.77
cand01107,ProteinMPNN,94.71,0.72
cand00900,ProteinMPNN,94.71,0.73
cand02373,ProteinMPNN,94.7,0.73
cand00623,SolubleMPNN,94.7,0.73
cand00633,SolubleMPNN,94.7,0.77
cand02026,SolubleMPNN,94.69,0.78
cand00591,ProteinMPNN,94.69,0.73
cand00963,SolubleMPNN,94.69,0.74
cand02376,SolubleMPNN,94.69,0.76
cand01846,ProteinMPNN,94.69,0.75
cand01234,ProteinMPNN,94.68,0.75
cand01209,ProteinMPNN,94.68,0.75
cand00022,SolubleMPNN,94.67,0.76
cand01546,SolubleMPNN,94.67,0.77
cand01532,SolubleMPNN,94.66,0.74
cand00092,ProteinMPNN,94.65,0.8
cand00356,ProteinMPNN,94.64,0.78
cand02264,SolubleMPNN,94.64,0.75
cand01038,SolubleMPNN,94.64,0.73
cand00466,SolubleMPNN,94.64,0.8
cand00646,SolubleMPNN,94.63,0.75
cand01078,SolubleMPNN,94.63,0.71
cand00167,SolubleMPNN,94.62,0.79
cand02371,ProteinMPNN,94.62,0.76
cand00946,ProteinMPNN,94.61,0.72
cand01623,SolubleMPNN,94.61,0.77
cand01088,SolubleMPNN,94.6,0.77
cand01584,ProteinMPNN,94.6,0.73
cand02168,SolubleMPNN,94.6,0.73
cand01707,SolubleMPNN,94.59,0.76
cand02076,SolubleMPNN,94.59,0.73
cand00707,SolubleMPNN,94.59,0.8
cand01712,SolubleMPNN,94.58,0.75
cand00275,ProteinMPNN,94.58,0.8
cand00672,ProteinMPNN,94.57,0.79
cand00903,SolubleMPNN,94.57,0.75
cand02186,SolubleMPNN,94.57,0.72
cand02378,SolubleMPNN,94.56,0.77
cand00610,SolubleMPNN,94.56,0.79
cand02152,ProteinMPNN,94.55,0.73
cand00344,SolubleMPNN,94.55,0.8
cand00877,ProteinMPNN,94.54,0.72
cand01479,SolubleMPNN,94.54,0.79
cand01697,SolubleMPNN,94.54,0.74
cand02052,SolubleMPNN,94.54,0.67
cand02020,ProteinMPNN,94.53,0.77
cand01848,SolubleMPNN,94.53,0.78
cand00334,ProteinMPNN,94.52,0.72
cand00332,ProteinMPNN,94.52,0.8
cand00403,ProteinMPNN,94.52,0.72
cand02362,SolubleMPNN,94.52,0.73
cand02464,SolubleMPNN,94.52,0.76
cand00699,SolubleMPNN,94.52,0.73
cand01499,SolubleMPNN,94.51,0.72
cand00738,ProteinMPNN,94.5,0.78
cand02233,SolubleMPNN,94.5,0.72
cand01704,ProteinMPNN,94.5,0.74
cand01191,ProteinMPNN,94.49,0.74
cand02164,ProteinMPNN,94.49,0.74
cand01454,SolubleMPNN,94.48,0.71
cand02412,ProteinMPNN,94.48,0.72
cand00769,ProteinMPNN,94.48,0.77
cand00467,SolubleMPNN,94.48,0.79
cand01121,ProteinMPNN,94.48,0.72
cand01723,SolubleMPNN,94.47,0.73
cand00354,SolubleMPNN,94.46,0.77
cand02231,ProteinMPNN,94.46,0.76
cand01617,SolubleMPNN,94.45,0.74
cand01482,SolubleMPNN,94.45,0.73
cand02275,ProteinMPNN,94.44,0.74
cand01145,ProteinMPNN,94.44,0.73
cand02061,SolubleMPNN,94.43,0.73
cand02092,SolubleMPNN,94.43,0.67
cand01147,ProteinMPNN,94.42,0.73
cand02379,ProteinMPNN,94.41,0.71
cand01649,ProteinMPNN,94.4,0.74
cand02382,ProteinMPNN,94.4,0.71
cand01860,SolubleMPNN,94.4,0.76
cand01141,SolubleMPNN,94.4,0.7
cand02018,SolubleMPNN,94.39,0.77
cand00262,SolubleMPNN,94.39,0.79
cand00695,SolubleMPNN,94.39,0.76
cand01721,SolubleMPNN,94.38,0.73
cand01361,ProteinMPNN,94.37,0.71
cand00021,SolubleMPNN,94.37,0.8
cand00009,SolubleMPNN,94.37,0.79
cand00890,ProteinMPNN,94.36,0.75
cand00753,SolubleMPNN,94.35,0.72
cand00190,SolubleMPNN,94.35,0.77
cand01857,SolubleMPNN,94.35,0.76
cand00402,ProteinMPNN,94.34,0.71
cand01571,ProteinMPNN,94.34,0.74
cand01367,SolubleMPNN,94.33,0.71
cand01591,ProteinMPNN,94.33,0.75
cand00519,SolubleMPNN,94.33,0.78
cand02326,ProteinMPNN,94.32,0.74
cand02167,SolubleMPNN,94.32,0.72
cand00155,ProteinMPNN,94.31,0.83
cand01109,ProteinMPNN,94.3,0.71
cand01768,SolubleMPNN,94.3,0.73
cand01895,ProteinMPNN,94.3,0.73
cand01898,ProteinMPNN,94.3,0.77
cand00299,SolubleMPNN,94.3,0.74
cand00588,SolubleMPNN,94.29,0.8
cand00024,SolubleMPNN,94.29,0.78
cand01667,SolubleMPNN,94.29,0.75
cand01781,SolubleMPNN,94.28,0.76
cand00915,ProteinMPNN,94.28,0.72
cand01836,ProteinMPNN,94.26,0.74
cand01118,SolubleMPNN,94.26,0.77
cand00639,SolubleMPNN,94.26,0.75
cand01104,SolubleMPNN,94.25,0.76
cand01212,SolubleMPNN,94.25,0.83
cand00608,ProteinMPNN,94.24,0.76
cand00589,SolubleMPNN,94.23,0.52
cand01748,SolubleMPNN,94.23,0.74
cand00445,ProteinMPNN,94.23,0.78
cand01273,SolubleMPNN,94.22,0.72
cand02180,SolubleMPNN,94.22,0.74
cand00011,ProteinMPNN,94.21,0.8
cand01236,ProteinMPNN,94.21,0.71
cand00708,SolubleMPNN,94.2,0.8
cand00899,SolubleMPNN,94.2,0.82
cand01288,SolubleMPNN,94.19,0.75
cand00340,SolubleMPNN,94.19,0.75
cand01103,ProteinMPNN,94.18,0.74
cand02025,SolubleMPNN,94.17,0.74
cand01696,SolubleMPNN,94.17,0.66
cand02313,SolubleMPNN,94.16,0.73
cand00056,SolubleMPNN,94.16,0.73
cand01470,SolubleMPNN,94.14,0.74
cand01384,SolubleMPNN,94.13,0.77
cand00199,SolubleMPNN,94.13,0.8
cand00417,ProteinMPNN,94.13,0.8
cand00773,SolubleMPNN,94.13,0.82
cand01210,SolubleMPNN,94.12,0.83
cand01347,SolubleMPNN,94.12,0.71
cand02088,SolubleMPNN,94.12,0.73
cand00832,SolubleMPNN,94.11,0.7
cand02346,ProteinMPNN,94.1,0.71
cand01830,SolubleMPNN,94.1,0.77
cand00477,ProteinMPNN,94.1,0.79
cand01855,SolubleMPNN,94.1,0.77
cand02129,ProteinMPNN,94.09,0.75
cand00160,SolubleMPNN,94.08,0.78
cand01061,SolubleMPNN,94.08,0.76
cand01149,SolubleMPNN,94.08,0.77
cand01988,SolubleMPNN,94.07,0.74
cand00870,ProteinMPNN,94.06,0.76
cand00157,SolubleMPNN,94.05,0.81
cand01684,SolubleMPNN,94.05,0.76
cand02014,SolubleMPNN,94.04,0.76
cand00169,ProteinMPNN,94.04,0.77
cand00620,ProteinMPNN,94.04,0.71
cand02100,SolubleMPNN,94.03,0.75
cand02249,SolubleMPNN,94.02,0.74
cand01778,ProteinMPNN,94.02,0.77
cand01912,ProteinMPNN,94.02,0.75
cand01717,SolubleMPNN,94.01,0.73
cand00978,ProteinMPNN,93.97,0.72
cand01837,SolubleMPNN,93.96,0.75
cand02125,SolubleMPNN,93.96,0.72
cand01795,SolubleMPNN,93.96,0.75
cand02214,SolubleMPNN,93.95,0.73
cand02360,SolubleMPNN,93.95,0.71
cand01641,SolubleMPNN,93.92,0.68
cand01391,ProteinMPNN,93.91,0.7
cand01423,SolubleMPNN,93.91,0.7
cand01359,ProteinMPNN,93.91,0.73
cand00487,SolubleMPNN,93.9,0.76
cand00706,ProteinMPNN,93.9,0.78
cand01131,SolubleMPNN,93.9,0.75
cand01113,SolubleMPNN,93.89,0.78
cand01006,ProteinMPNN,93.89,0.72
cand01842,ProteinMPNN,93.89,0.75
cand00290,ProteinMPNN,93.89,0.76
cand02399,ProteinMPNN,93.88,0.7
cand00387,SolubleMPNN,93.88,0.78
cand01135,ProteinMPNN,93.86,0.7
cand02194,SolubleMPNN,93.85,0.71
cand01476,SolubleMPNN,93.84,0.76
cand00928,SolubleMPNN,93.84,0.8
cand01547,SolubleMPNN,93.84,0.73
cand01283,SolubleMPNN,93.83,0.71
cand02245,SolubleMPNN,93.83,0.75
cand01376,ProteinMPNN,93.82,0.73
cand02250,SolubleMPNN,93.82,0.72
cand00478,ProteinMPNN,93.82,0.79
cand01244,ProteinMPNN,93.82,0.71
cand01151,ProteinMPNN,93.82,0.73
cand02004,SolubleMPNN,93.81,0.72
cand00593,SolubleMPNN,93.81,0.79
cand01300,SolubleMPNN,93.81,0.78
cand01331,ProteinMPNN,93.81,0.73
cand02093,SolubleMPNN,93.81,0.72
cand01422,ProteinMPNN,93.79,0.69
cand01046,ProteinMPNN,93.79,0.7
cand01322,SolubleMPNN,93.76,0.73
cand00373,ProteinMPNN,93.76,0.79
cand00229,ProteinMPNN,93.75,0.79
cand02040,SolubleMPNN,93.75,0.7
cand00912,ProteinMPNN,93.74,0.73
cand01371,ProteinMPNN,93.71,0.7
cand00846,ProteinMPNN,93.7,0.73
cand02296,ProteinMPNN,93.7,0.72
cand00482,SolubleMPNN,93.7,0.8
cand01915,SolubleMPNN,93.7,0.74
cand00709,ProteinMPNN,93.7,0.71
cand02255,SolubleMPNN,93.69,0.71
cand01424,ProteinMPNN,93.69,0.69
cand00979,ProteinMPNN,93.68,0.75
cand01016,SolubleMPNN,93.68,0.7
cand01413,ProteinMPNN,93.67,0.71
cand00136,ProteinMPNN,93.66,0.81
cand00151,ProteinMPNN,93.66,0.76
cand02395,SolubleMPNN,93.66,0.74
cand01530,SolubleMPNN,93.66,0.75
cand01626,SolubleMPNN,93.66,0.69
cand01984,SolubleMPNN,93.65,0.73
cand02401,ProteinMPNN,93.65,0.73
cand02284,SolubleMPNN,93.64,0.74
cand01843,ProteinMPNN,93.64,0.77
cand02207,ProteinMPNN,93.63,0.77
cand00079,ProteinMPNN,93.63,0.8
cand02386,SolubleMPNN,93.62,0.73
cand02336,SolubleMPNN,93.61,0.73
cand02297,ProteinMPNN,93.61,0.71
cand01782,ProteinMPNN,93.61,0.72
cand02347,SolubleMPNN,93.6,0.73
cand00148,ProteinMPNN,93.6,0.76
cand01643,SolubleMPNN,93.6,0.75
cand01889,ProteinMPNN,93.6,0.74
cand01307,SolubleMPNN,93.58,0.77
cand00522,ProteinMPNN,93.58,0.77
cand01719,SolubleMPNN,93.58,0.74
cand01047,ProteinMPNN,93.58,0.68
cand00803,ProteinMPNN,93.57,0.73
cand00526,ProteinMPNN,93.55,0.77
cand00431,SolubleMPNN,93.54,0.78
cand00734,SolubleMPNN,93.53,0.8
cand01223,ProteinMPNN,93.53,0.73
cand02155,ProteinMPNN,93.52,0.7
cand00772,SolubleMPNN,93.52,0.79
cand00680,SolubleMPNN,93.52,0.73
cand02111,ProteinMPNN,93.52,0.72
cand00316,ProteinMPNN,93.52,0.78
cand00676,ProteinMPNN,93.51,0.77
cand00464,SolubleMPNN,93.51,0.79
cand02358,SolubleMPNN,93.5,0.7
cand02470,SolubleMPNN,93.5,0.74
cand01051,SolubleMPNN,93.5,0.69
cand01256,SolubleMPNN,93.5,0.54
cand02199,ProteinMPNN,93.49,0.72
cand02344,SolubleMPNN,93.48,0.71
cand00421,ProteinMPNN,93.48,0.77
cand02286,SolubleMPNN,93.48,0.75
cand00806,ProteinMPNN,93.48,0.78
cand00016,SolubleMPNN,93.47,0.78
cand02082,SolubleMPNN,93.47,0.75
cand00077,ProteinMPNN,93.46,0.76
cand01217,SolubleMPNN,93.46,0.51
cand02042,SolubleMPNN,93.46,0.72
cand01516,SolubleMPNN,93.46,0.7
cand00365,ProteinMPNN,93.46,0.78
cand00945,ProteinMPNN,93.45,0.76
cand01787,ProteinMPNN,93.45,0.73
cand00984,SolubleMPNN,93.44,0.69
cand00306,SolubleMPNN,93.44,0.74
cand00575,SolubleMPNN,93.43,0.51
cand01599,ProteinMPNN,93.43,0.68
cand01200,SolubleMPNN,93.43,0.69
cand00217,ProteinMPNN,93.43,0.75
cand02077,SolubleMPNN,93.43,0.71
cand00812,SolubleMPNN,93.42,0.75
cand00842,ProteinMPNN,93.41,0.69
cand00670,SolubleMPNN,93.41,0.74
cand02407,ProteinMPNN,93.41,0.72
cand00543,ProteinMPNN,93.41,0.73
cand01338,ProteinMPNN,93.41,0.73
cand00150,SolubleMPNN,93.39,0.78
cand00338,SolubleMPNN,93.38,0.71
cand00933,SolubleMPNN,93.38,0.79
cand01297,SolubleMPNN,93.37,0.75
cand01272,SolubleMPNN,93.37,0.68
cand00393,SolubleMPNN,93.37,0.78
cand01067,ProteinMPNN,93.35,0.67
cand00506,SolubleMPNN,93.33,0.76
cand02070,SolubleMPNN,93.33,0.75
cand01498,SolubleMPNN,93.32,0.77
cand01259,SolubleMPNN,93.32,0.51
cand01027,ProteinMPNN,93.31,0.71
cand01628,SolubleMPNN,93.31,0.76
cand01072,SolubleMPNN,93.3,0.74
cand00161,ProteinMPNN,93.29,0.76
cand01306,ProteinMPNN,93.29,0.73
cand01853,SolubleMPNN,93.28,0.74
cand01056,SolubleMPNN,93.28,0.75
cand00076,ProteinMPNN,93.27,0.78
cand00897,SolubleMPNN,93.27,0.73
cand02144,ProteinMPNN,93.26,0.75
cand01722,SolubleMPNN,93.26,0.73
cand02123,SolubleMPNN,93.25,0.72
cand01867,SolubleMPNN,93.25,0.76
cand00840,SolubleMPNN,93.24,0.75
cand01024,SolubleMPNN,93.24,0.69
cand01775,ProteinMPNN,93.23,0.69
cand02202,ProteinMPNN,93.22,0.68
cand02032,ProteinMPNN,93.2,0.74
cand00416,SolubleMPNN,93.19,0.78
cand02204,SolubleMPNN,93.18,0.73
cand00047,ProteinMPNN,93.18,0.73
cand00216,ProteinMPNN,93.18,0.76
cand00400,SolubleMPNN,93.17,0.79
cand01277,SolubleMPNN,93.16,0.72
cand02139,SolubleMPNN,93.13,0.7
cand00260,ProteinMPNN,93.13,0.74
cand01266,ProteinMPNN,93.13,0.71
cand00866,SolubleMPNN,93.12,0.69
cand02374,ProteinMPNN,93.12,0.71
cand00848,ProteinMPNN,93.11,0.79
cand00188,SolubleMPNN,93.11,0.78
cand01567,SolubleMPNN,93.11,0.74
cand01677,SolubleMPNN,93.11,0.75
cand01933,ProteinMPNN,93.11,0.73
cand02350,SolubleMPNN,93.1,0.72
cand01660,SolubleMPNN,93.1,0.73
cand01174,SolubleMPNN,93.09,0.68
cand00823,ProteinMPNN,93.08,0.75
cand00857,SolubleMPNN,93.07,0.71
cand00026,ProteinMPNN,93.07,0.73
cand01510,SolubleMPNN,93.07,0.76
cand02316,ProteinMPNN,93.06,0.75
cand00948,SolubleMPNN,93.06,0.75
cand00784,SolubleMPNN,93.06,0.79
cand00430,ProteinMPNN,93.05,0.77
cand01013,SolubleMPNN,93.05,0.75
cand00341,SolubleMPNN,93.04,0.77
cand01211,ProteinMPNN,93.04,0.67
cand00295,ProteinMPNN,93.04,0.61
cand02130,SolubleMPNN,93.03,0.71
cand01282,SolubleMPNN,93.03,0.76
cand02409,ProteinMPNN,93.02,0.69
cand01666,ProteinMPNN,93.02,0.73
cand01014,ProteinMPNN,93.02,0.68
cand01868,ProteinMPNN,93.01,0.75
cand00330,ProteinMPNN,93.0,0.75
cand00904,SolubleMPNN,93.0,0.67
cand02209,SolubleMPNN,92.99,0.75
cand00119,ProteinMPNN,92.99,0.78
cand01638,SolubleMPNN,92.99,0.71
cand02184,SolubleMPNN,92.98,0.7
cand02405,SolubleMPNN,92.97,0.72
cand01015,ProteinMPNN,92.97,0.72
cand00271,SolubleMPNN,92.96,0.76
cand02281,SolubleMPNN,92.95,0.51
cand02053,ProteinMPNN,92.95,0.74
cand01625,SolubleMPNN,92.95,0.71
cand01258,ProteinMPNN,92.95,0.68
cand01293,ProteinMPNN,92.94,0.7
cand02461,SolubleMPNN,92.94,0.74
cand00679,ProteinMPNN,92.92,0.73
cand01318,SolubleMPNN,92.92,0.68
cand00943,ProteinMPNN,92.92,0.72
cand02356,SolubleMPNN,92.91,0.72
cand01654,SolubleMPNN,92.91,0.75
cand01030,SolubleMPNN,92.91,0.82
cand01487,ProteinMPNN,92.91,0.67
cand02098,ProteinMPNN,92.9,0.76
cand01173,SolubleMPNN,92.89,0.75
cand02208,SolubleMPNN,92.88,0.7
cand01590,ProteinMPNN,92.87,0.72
cand00441,ProteinMPNN,92.87,0.64
cand00886,ProteinMPNN,92.87,0.74
cand01374,ProteinMPNN,92.86,0.71
cand01824,SolubleMPNN,92.86,0.69
cand00132,ProteinMPNN,92.86,0.75
cand00540,SolubleMPNN,92.86,0.76
cand01752,SolubleMPNN,92.85,0.71
cand00105,ProteinMPNN,92.84,0.78
cand01645,SolubleMPNN,92.84,0.66
cand01430,ProteinMPNN,92.84,0.7
cand02065,SolubleMPNN,92.84,0.69
cand00775,ProteinMPNN,92.83,0.77
cand01785,SolubleMPNN,92.83,0.73
cand01864,SolubleMPNN,92.83,0.74
cand00697,ProteinMPNN,92.83,0.77
cand00111,SolubleMPNN,92.81,0.76
cand01573,SolubleMPNN,92.81,0.68
cand02324,ProteinMPNN,92.8,0.67
cand02384,SolubleMPNN,92.8,0.73
cand02050,SolubleMPNN,92.8,0.67
cand00625,SolubleMPNN,92.79,0.78
cand01392,ProteinMPNN,92.78,0.71
cand00064,ProteinMPNN,92.76,0.74
cand02267,ProteinMPNN,92.76,0.68
cand00227,SolubleMPNN,92.76,0.76
cand01325,ProteinMPNN,92.76,0.7
cand00259,SolubleMPNN,92.76,0.78
cand01922,ProteinMPNN,92.75,0.73
cand01225,ProteinMPNN,92.75,0.71
cand01334,ProteinMPNN,92.75,0.7
cand01417,ProteinMPNN,92.74,0.71
cand02108,SolubleMPNN,92.74,0.71
cand00130,ProteinMPNN,92.73,0.77
cand01669,SolubleMPNN,92.73,0.77
cand01411,ProteinMPNN,92.73,0.67
cand01271,ProteinMPNN,92.73,0.71
cand00574,SolubleMPNN,92.72,0.76
cand02342,SolubleMPNN,92.72,0.73
cand01385,SolubleMPNN,92.7,0.76
cand01343,ProteinMPNN,92.7,0.66
cand00635,SolubleMPNN,92.7,0.77
cand00827,ProteinMPNN,92.7,0.67
cand01380,ProteinMPNN,92.69,0.7
cand00219,SolubleMPNN,92.69,0.75
cand02033,SolubleMPNN,92.68,0.7
cand00700,SolubleMPNN,92.68,0.71
cand00054,SolubleMPNN,92.67,0.77
cand01609,ProteinMPNN,92.67,0.69
cand00964,SolubleMPNN,92.66,0.68
cand01356,ProteinMPNN,92.66,0.72
cand02392,ProteinMPNN,92.65,0.7
cand01178,ProteinMPNN,92.65,0.69
cand01344,SolubleMPNN,92.64,0.77
cand00129,ProteinMPNN,92.63,0.75
cand01339,SolubleMPNN,92.63,0.74
cand01031,ProteinMPNN,92.62,0.71
cand00273,ProteinMPNN,92.61,0.74
cand01224,SolubleMPNN,92.58,0.8
cand01548,SolubleMPNN,92.58,0.75
cand01053,SolubleMPNN,92.58,0.67
cand02418,ProteinMPNN,92.57,0.72
cand01563,ProteinMPNN,92.55,0.69
cand02073,SolubleMPNN,92.55,0.72
cand01354,ProteinMPNN,92.55,0.68
cand01089,SolubleMPNN,92.54,0.67
cand00029,ProteinMPNN,92.53,0.77
cand00025,ProteinMPNN,92.52,0.75
cand00940,ProteinMPNN,92.52,0.74
cand02369,ProteinMPNN,92.52,0.68
cand00820,SolubleMPNN,92.52,0.69
cand00712,SolubleMPNN,92.52,0.79
cand01570,SolubleMPNN,92.51,0.73
cand00241,SolubleMPNN,92.51,0.67
cand00892,SolubleMPNN,92.51,0.74
cand01080,SolubleMPNN,92.5,0.69
cand02400,ProteinMPNN,92.5,0.7
cand02276,SolubleMPNN,92.5,0.69
cand02307,SolubleMPNN,92.49,0.72
cand00796,ProteinMPNN,92.49,0.79
cand00510,SolubleMPNN,92.49,0.77
cand02353,SolubleMPNN,92.48,0.68
cand01181,ProteinMPNN,92.48,0.7
cand00203,SolubleMPNN,92.48,0.76
cand01519,ProteinMPNN,92.48,0.7
cand01389,ProteinMPNN,92.47,0.71
cand00017,ProteinMPNN,92.45,0.74
cand00425,ProteinMPNN,92.44,0.77
cand01165,SolubleMPNN,92.44,0.69
cand01315,ProteinMPNN,92.43,0.69
cand01207,ProteinMPNN,92.43,0.72
cand01733,SolubleMPNN,92.43,0.66
cand01036,ProteinMPNN,92.42,0.66
cand01457,ProteinMPNN,92.41,0.71
cand02468,ProteinMPNN,92.41,0.71
cand00539,SolubleMPNN,92.4,0.76
cand01840,ProteinMPNN,92.4,0.73
cand00869,ProteinMPNN,92.39,0.72
cand02265,SolubleMPNN,92.39,0.7
cand01695,SolubleMPNN,92.38,0.74
cand02340,SolubleMPNN,92.36,0.73
cand00006,ProteinMPNN,92.36,0.72
cand01977,SolubleMPNN,92.35,0.72
cand02124,ProteinMPNN,92.33,0.69
cand01460,ProteinMPNN,92.32,0.69
cand02472,SolubleMPNN,92.32,0.71
cand01720,SolubleMPNN,92.31,0.71
cand01634,SolubleMPNN,92.31,0.73
cand01673,SolubleMPNN,92.3,0.69
cand00248,ProteinMPNN,92.3,0.76
cand00905,ProteinMPNN,92.3,0.66
cand01931,SolubleMPNN,92.29,0.71
cand00408,SolubleMPNN,92.28,0.77
cand02064,SolubleMPNN,92.28,0.72
cand00628,SolubleMPNN,92.26,0.66
cand01967,SolubleMPNN,92.25,0.75
cand00962,ProteinMPNN,92.24,0.74
cand02380,ProteinMPNN,92.24,0.7
cand01483,ProteinMPNN,92.24,0.69
cand00397,ProteinMPNN,92.24,0.76
cand01468,ProteinMPNN,92.23,0.67
cand01798,SolubleMPNN,92.23,0.71
cand01363,ProteinMPNN,92.22,0.67
cand00555,ProteinMPNN,92.22,0.76
cand00363,SolubleMPNN,92.21,0.73
cand00434,SolubleMPNN,92.2,0.79
cand01352,ProteinMPNN,92.2,0.65
cand00536,SolubleMPNN,92.19,0.71
cand02107,SolubleMPNN,92.19,0.69
cand01002,ProteinMPNN,92.18,0.72
cand00826,ProteinMPNN,92.18,0.71
cand02261,ProteinMPNN,92.17,0.7
cand01655,SolubleMPNN,92.17,0.67
cand01312,ProteinMPNN,92.16,0.67
cand01796,SolubleMPNN,92.15,0.67
cand00858,ProteinMPNN,92.13,0.66
cand02131,SolubleMPNN,92.13,0.68
cand00347,SolubleMPNN,92.13,0.75
cand02270,SolubleMPNN,92.13,0.71
cand01794,SolubleMPNN,92.13,0.73
cand01432,SolubleMPNN,92.12,0.76
cand00600,ProteinMPNN,92.12,0.72
cand01203,SolubleMPNN,92.09,0.7
cand02068,SolubleMPNN,92.09,0.72
cand01329,ProteinMPNN,92.09,0.67
cand02337,SolubleMPNN,92.07,0.73
cand01112,ProteinMPNN,92.07,0.65
cand02292,SolubleMPNN,92.07,0.71
cand00049,ProteinMPNN,92.06,0.76
cand00163,ProteinMPNN,92.05,0.76
cand02015,SolubleMPNN,92.03,0.7
cand01456,ProteinMPNN,92.03,0.67
cand01451,SolubleMPNN,92.03,0.66
cand02370,ProteinMPNN,92.03,0.72
cand00242,SolubleMPNN,92.03,0.76
cand00720,ProteinMPNN,92.02,0.7
cand00569,SolubleMPNN,92.02,0.72
cand01706,SolubleMPNN,92.02,0.69
cand01289,ProteinMPNN,92.01,0.68
cand01412,SolubleMPNN,92.01,0.74
cand02177,ProteinMPNN,92.01,0.68
cand02417,ProteinMPNN,92.0,0.7
cand00959,SolubleMPNN,92.0,0.71
cand02318,ProteinMPNN,91.98,0.68
cand02463,ProteinMPNN,91.97,0.73
cand01950,SolubleMPNN,91.96,0.71
cand01747,ProteinMPNN,91.96,0.72
cand02348,ProteinMPNN,91.95,0.67
cand01681,SolubleMPNN,91.95,0.71
cand00211,ProteinMPNN,91.95,0.75
cand00907,SolubleMPNN,91.95,0.67
cand00372,SolubleMPNN,91.95,0.73
cand01993,SolubleMPNN,91.94,0.69
cand00957,ProteinMPNN,91.94,0.76
cand02109,SolubleMPNN,91.94,0.72
cand00544,SolubleMPNN,91.92,0.75
cand00405,ProteinMPNN,91.91,0.78
cand01324,SolubleMPNN,91.91,0.73
cand01650,ProteinMPNN,91.9,0.68
cand00687,ProteinMPNN,91.9,0.76
cand01448,SolubleMPNN,91.89,0.69
cand00032,ProteinMPNN,91.87,0.75
cand02445,ProteinMPNN,91.87,0.7
cand01453,SolubleMPNN,91.85,0.71
cand00554,SolubleMPNN,91.85,0.76
cand01685,SolubleMPNN,91.85,0.65
cand01501,ProteinMPNN,91.85,0.69
cand01278,ProteinMPNN,91.85,0.71
cand01086,SolubleMPNN,91.84,0.73
cand02269,SolubleMPNN,91.84,0.72
cand02441,SolubleMPNN,91.83,0.72
cand01888,SolubleMPNN,91.83,0.71
cand00479,SolubleMPNN,91.83,0.54
cand01802,ProteinMPNN,91.82,0.71
cand01970,SolubleMPNN,91.82,0.69
cand00921,ProteinMPNN,91.82,0.7
cand00508,ProteinMPNN,91.82,0.77
cand02457,ProteinMPNN,91.82,0.69
cand02099,SolubleMPNN,91.82,0.69
cand02174,ProteinMPNN,91.81,0.71
cand00359,SolubleMPNN,91.8,0.74
cand01947,SolubleMPNN,91.8,0.71
cand01182,SolubleMPNN,91.8,0.53
cand01514,SolubleMPNN,91.8,0.7
cand01518,SolubleMPNN,91.8,0.66
cand02277,SolubleMPNN,91.79,0.68
cand00471,ProteinMPNN,91.79,0.77
cand02156,SolubleMPNN,91.78,0.7
cand00394,ProteinMPNN,91.78,0.76
cand01441,SolubleMPNN,91.77,0.67
cand01948,ProteinMPNN,91.77,0.74
cand02352,SolubleMPNN,91.76,0.71
cand01987,SolubleMPNN,91.76,0.7
cand00491,SolubleMPNN,91.75,0.52
cand02074,SolubleMPNN,91.75,0.68
cand00289,SolubleMPNN,91.74,0.75
cand01215,ProteinMPNN,91.73,0.65
cand02035,SolubleMPNN,91.72,0.69
cand00816,SolubleMPNN,91.72,0.75
cand02419,ProteinMPNN,91.71,0.71
cand01425,ProteinMPNN,91.71,0.65
cand02062,SolubleMPNN,91.7,0.71
cand00448,ProteinMPNN,91.7,0.73
cand01458,ProteinMPNN,91.68,0.65
cand01186,SolubleMPNN,91.68,0.71
cand00719,SolubleMPNN,91.68,0.76
cand00028,ProteinMPNN,91.66,0.77
cand02279,SolubleMPNN,91.65,0.69
cand01436,SolubleMPNN,91.65,0.73
cand02431,ProteinMPNN,91.64,0.7
cand01600,ProteinMPNN,91.64,0.67
cand02341,SolubleMPNN,91.63,0.67
cand00716,ProteinMPNN,91.63,0.76
cand01083,ProteinMPNN,91.61,0.66
cand01284,ProteinMPNN,91.61,0.67
cand02364,SolubleMPNN,91.61,0.71
cand01942,ProteinMPNN,91.61,0.74
cand01517,ProteinMPNN,91.6,0.7
cand01336,SolubleMPNN,91.59,0.64
cand00457,SolubleMPNN,91.58,0.73
cand01552,SolubleMPNN,91.57,0.64
cand00833,ProteinMPNN,91.57,0.71
cand01281,ProteinMPNN,91.56,0.69
cand01290,ProteinMPNN,91.55,0.73
cand01029,ProteinMPNN,91.55,0.64
cand00349,SolubleMPNN,91.54,0.69
cand02248,ProteinMPNN,91.52,0.68
cand01000,ProteinMPNN,91.52,0.65
cand01337,ProteinMPNN,91.52,0.67
cand00651,ProteinMPNN,91.51,0.76
cand01375,ProteinMPNN,91.48,0.72
cand01012,ProteinMPNN,91.48,0.68
cand02149,ProteinMPNN,91.45,0.68
cand00172,SolubleMPNN,91.44,0.76
cand01187,ProteinMPNN,91.44,0.64
