cand,sc_dockq,irms,Lrms,fnat,bsa,n_int_res,n_contact
cand01720,0.054,6.756,23.665,0.0,749.7,41,48
cand01724,0.622,1.591,3.909,0.571,866.0,48,68
cand01725,0.475,2.605,5.899,0.5,762.0,41,50
cand01726,0.705,0.927,2.946,0.5,720.2,40,52
cand01727,0.32,4.067,9.087,0.375,706.4,39,46
cand01728,0.019,11.481,41.757,0.0,806.4,46,55
cand01729,0.822,1.205,3.446,1.0,840.6,43,52
cand01733,0.885,0.828,3.006,1.0,989.2,50,70
cand01735,0.834,0.878,1.78,0.8,784.0,43,52
cand01736,0.217,3.612,8.415,0.0,675.6,35,47
cand01738,0.49,2.706,7.401,0.667,843.1,48,63
cand01739,0.855,1.11,2.543,1.0,821.0,46,57
cand01741,0.366,2.28,4.318,0.0,772.1,43,50
cand01746,0.868,0.791,1.661,0.857,924.1,51,68
cand01747,0.291,3.354,10.26,0.3,780.8,47,55
cand01752,0.354,2.312,11.926,0.429,684.0,40,47
cand01754,0.018,12.05,41.886,0.0,771.6,43,61
cand01758,0.02,13.434,38.242,0.0,572.0,34,40
cand01764,0.326,3.074,8.499,0.286,829.5,47,57
cand01768,0.028,10.352,32.583,0.0,674.3,38,38
cand01770,0.899,0.82,2.388,1.0,989.3,47,63
cand01775,0.854,1.071,2.824,1.0,952.8,52,63
cand01778,0.816,0.921,1.443,0.75,956.1,48,62
cand01779,0.728,1.331,2.666,0.714,990.8,50,66
cand01781,,,,,748.4,42,55
cand01782,0.813,1.264,3.506,1.0,1001.3,52,66
cand01786,0.784,1.443,3.803,1.0,876.3,48,60
cand01789,0.6,2.407,4.64,0.75,879.0,56,93
cand01790,0.903,0.584,1.059,0.857,863.0,44,55
cand01791,0.02,12.688,38.055,0.0,654.2,36,38
cand01793,0.05,14.409,21.261,0.0,823.0,42,57
cand01795,,,,,792.7,45,54
cand01796,0.046,7.714,25.261,0.0,675.4,39,40
cand01797,0.018,11.744,42.184,0.0,947.3,51,68
cand01802,0.803,0.873,1.987,0.714,920.3,47,60
cand01810,0.722,1.153,2.178,0.6,703.1,39,44
cand01814,0.648,1.853,4.944,0.8,800.7,52,67
cand01817,0.018,11.964,42.718,0.0,756.1,44,56
cand01818,0.125,5.83,23.663,0.2,731.2,42,49
cand01821,,,,,796.7,45,55
cand01824,,,,,822.2,44,52
cand01826,0.868,0.74,2.09,0.857,933.7,47,58
cand01827,0.495,1.995,5.632,0.429,765.7,39,49
cand01830,,,,,764.7,45,50
cand01831,0.878,0.753,1.305,0.857,915.0,46,58
cand01835,,,,,757.3,43,54
cand01836,0.821,1.209,3.471,1.0,863.1,46,56
cand01837,0.575,1.9,4.635,0.571,870.1,48,57
cand01838,0.369,2.907,9.073,0.429,881.6,48,63
cand01840,0.867,0.806,1.561,0.857,918.6,49,64
cand01841,0.193,3.487,9.94,0.0,857.9,51,71
cand01843,0.889,0.968,1.708,1.0,818.3,48,64
cand01850,,,,,805.4,47,56
cand01854,0.049,12.863,21.516,0.0,770.0,41,45
cand01857,,,,,907.0,47,59
cand01864,,,,,857.6,47,62
cand01865,0.023,12.298,35.112,0.0,793.7,43,53
cand01867,,,,,828.2,47,59
cand01868,0.769,1.581,3.806,1.0,945.6,55,75
cand01871,0.811,0.783,2.269,0.714,851.9,44,60
cand01873,0.265,2.845,7.262,0.0,774.1,46,59
cand01879,0.143,9.327,16.813,0.2,609.1,38,44
cand01881,0.095,7.691,14.794,0.0,936.1,57,105
cand01882,0.031,8.79,32.591,0.0,869.8,50,59
cand01884,0.876,0.982,2.394,1.0,931.9,51,66
cand01888,0.812,1.138,2.072,0.857,989.3,51,69
cand01892,0.088,9.154,26.124,0.143,1004.4,54,69
cand01894,0.289,3.568,10.025,0.3,702.4,34,40
cand01897,0.055,10.405,20.777,0.0,600.0,34,40
cand01899,0.596,1.712,6.199,0.7,744.7,40,49
cand01908,0.022,13.189,35.902,0.0,861.6,43,45
cand01909,0.282,2.659,6.895,0.0,679.8,34,42
cand01913,0.024,12.243,34.907,0.0,479.9,28,28
cand01915,0.43,2.04,6.195,0.286,792.8,42,56
cand01917,0.033,11.437,28.379,0.0,755.6,42,48
cand01918,0.866,1.017,2.629,1.0,1001.8,54,69
cand01919,0.545,1.67,4.793,0.429,808.2,41,52
cand01920,0.916,0.493,0.953,0.857,938.7,46,66
cand01922,0.894,0.613,1.556,0.857,981.1,45,60
cand01925,0.596,1.894,4.237,0.6,816.5,44,51
cand01926,0.07,9.595,17.805,0.0,765.1,43,51
cand01927,0.308,3.444,8.254,0.25,833.6,40,55
cand01928,0.875,0.712,1.914,0.857,968.2,47,59
cand01933,0.838,1.18,2.874,1.0,988.1,51,64
cand01942,0.202,3.533,9.36,0.0,795.3,42,60
cand01943,0.833,1.192,3.045,1.0,887.3,43,53
cand01948,0.882,0.704,1.535,0.857,856.4,46,59
cand01949,0.757,1.593,4.221,1.0,863.7,48,63
cand01950,0.545,2.074,5.319,0.571,866.6,46,59
cand01952,0.028,9.149,34.646,0.0,838.4,54,74
cand01953,0.016,12.663,45.058,0.0,720.7,44,58
cand01958,0.762,1.344,3.231,0.857,901.2,44,58
cand01961,0.655,0.907,3.817,0.4,660.0,35,45
cand01966,0.114,6.232,13.387,0.0,908.4,50,67
cand01969,0.602,2.046,4.993,0.714,841.8,50,62
cand01973,0.03,8.881,33.413,0.0,768.5,44,59
cand01979,0.636,1.01,3.981,0.4,628.3,34,48
cand01981,0.656,2.582,5.348,1.0,782.0,50,71
cand01985,0.142,3.958,12.977,0.0,701.1,42,42
cand01989,0.137,7.676,14.735,0.125,872.7,58,79
cand01990,0.031,12.334,29.235,0.0,646.6,39,47
cand01996,0.02,13.906,37.452,0.0,850.0,46,62
cand01999,0.785,0.663,1.983,0.571,966.0,51,70
cand02004,0.47,2.09,6.374,0.429,730.5,38,50
cand02008,0.029,10.992,31.085,0.0,778.5,43,48
cand02009,0.218,9.784,14.482,0.375,970.7,66,110
cand02017,0.607,1.388,3.497,0.429,793.9,45,55
cand02023,,,,,844.5,49,59
cand02024,0.884,0.875,2.749,1.0,971.4,50,69
cand02027,0.745,1.286,2.088,0.714,816.8,48,65
cand02028,0.576,1.938,4.498,0.571,839.9,44,55
cand02031,0.844,1.046,1.773,0.9,796.8,45,56
cand02035,0.42,2.465,7.494,0.429,892.6,45,57
cand02036,0.451,1.89,5.807,0.286,779.6,41,55
cand02037,0.721,1.669,3.444,0.857,783.5,43,54
cand02038,0.457,1.842,5.25,0.25,692.4,42,48
cand02039,0.756,1.103,2.783,0.714,879.0,46,58
cand02042,0.82,0.743,2.109,0.714,1031.2,54,72
cand02044,0.067,16.713,31.106,0.125,864.0,48,60
cand02045,0.029,15.906,28.941,0.0,810.3,43,61
cand02047,0.656,1.122,2.841,0.429,737.6,41,52
cand02048,0.026,10.506,34.161,0.0,499.7,26,25
cand02050,0.664,1.707,3.663,0.714,886.0,41,51
cand02054,0.884,0.672,1.715,0.857,961.1,45,58
cand02055,0.343,2.944,10.506,0.429,922.6,52,59
cand02057,0.048,12.034,22.255,0.0,622.3,44,56
cand02059,0.046,11.06,22.876,0.0,430.3,25,27
cand02063,0.021,13.6,37.098,0.0,597.6,39,40
cand02065,0.604,1.483,5.093,0.571,878.2,45,65
cand02070,0.721,1.204,3.72,0.714,996.7,51,66
cand02072,0.446,2.398,6.531,0.429,922.4,45,61
cand02073,0.063,10.119,18.92,0.0,594.7,33,40
cand02076,0.596,1.618,6.777,0.714,766.5,45,59
cand02077,0.132,9.065,28.082,0.286,622.7,54,112
cand02078,0.753,0.912,1.764,0.571,850.7,46,62
cand02079,0.258,3.822,8.552,0.143,810.3,46,58
cand02081,0.048,13.92,21.736,0.0,721.6,39,45
cand02082,0.403,3.022,7.207,0.429,788.3,43,56
cand02083,0.351,3.151,9.598,0.429,856.9,47,56
cand02086,0.836,0.938,2.28,0.857,858.1,45,59
cand02088,0.438,2.435,6.787,0.429,844.7,47,58
cand02094,0.042,7.345,27.803,0.0,705.5,39,47
cand02097,0.559,1.81,5.598,0.571,767.0,42,53
cand02098,0.062,7.887,20.221,0.0,697.2,47,58
cand02100,0.908,0.83,1.744,1.0,963.4,49,66
cand02102,0.525,1.782,5.131,0.429,863.8,45,58
cand02103,0.586,1.919,4.15,0.571,858.9,50,59
cand02105,0.425,2.762,8.913,0.571,880.0,47,59
cand02107,0.018,12.577,41.593,0.0,559.0,42,82
cand02109,0.736,1.002,2.077,0.571,891.1,45,60
cand02110,0.022,12.528,36.567,0.0,713.9,42,49
cand02111,,,,,649.1,33,36
cand02112,0.766,0.815,1.882,0.571,930.8,50,67
cand02115,0.851,0.614,1.143,0.714,917.0,49,67
cand02116,0.592,1.833,4.212,0.571,863.4,43,55
cand02117,0.86,0.548,1.149,0.714,947.0,48,62
cand02120,0.121,4.879,13.749,0.0,737.2,42,52
cand02121,0.404,2.569,8.023,0.429,661.2,40,37
cand02122,0.018,12.981,41.037,0.0,455.7,33,47
cand02124,0.448,2.053,4.972,0.25,788.6,44,52
cand02128,0.31,2.864,6.474,0.083,819.9,39,46
cand02129,,,,,800.3,46,52
cand02132,,,,,651.4,41,43
cand02138,0.928,0.732,1.341,1.0,1127.8,55,77
cand02142,0.616,1.676,3.831,0.571,658.5,37,39
cand02144,,,,,739.4,37,47
cand02145,0.027,14.112,30.974,0.0,691.7,40,46
cand02148,0.69,1.205,2.824,0.562,846.1,45,59
cand02149,,,,,826.1,48,58
cand02152,,,,,548.5,31,35
cand02153,0.735,1.506,3.55,0.857,929.3,48,63
cand02155,0.307,3.391,10.809,0.375,812.4,45,62
cand02158,0.299,2.804,7.054,0.083,695.5,39,42
cand02159,0.518,2.093,6.32,0.571,845.6,45,59
cand02160,,,,,763.0,40,54
cand02161,0.906,0.764,2.437,1.0,1057.1,49,66
cand02162,0.658,1.388,3.235,0.562,866.6,46,62
cand02163,0.943,0.614,1.437,1.0,1020.5,49,62
cand02164,0.834,1.033,1.592,0.857,839.6,45,56
cand02165,0.042,9.454,25.175,0.0,822.9,47,61
cand02166,0.674,1.298,3.152,0.571,836.3,45,63
cand02168,0.299,2.835,6.718,0.062,711.5,37,45
cand02171,0.332,2.818,6.222,0.125,740.8,40,49
cand02172,0.281,3.14,7.307,0.083,771.0,37,45
cand02175,0.076,12.813,30.595,0.143,646.3,44,48
cand02177,,,,,779.0,45,52
cand02179,0.344,2.614,8.54,0.286,771.4,44,62
cand02181,,,,,601.3,37,45
cand02182,0.025,16.007,31.604,0.0,464.4,24,31
cand02186,0.327,2.557,6.96,0.125,746.4,38,46
cand02187,,,,,728.2,41,54
cand02190,,,,,612.7,28,36
cand02191,,,,,832.7,47,63
cand02194,0.175,4.622,12.819,0.125,685.4,43,56
cand02195,0.242,3.909,9.788,0.167,681.1,34,39
cand02199,,,,,615.9,33,34
cand02202,,,,,788.5,41,50
cand02203,0.259,3.813,9.292,0.188,771.8,37,49
cand02204,0.122,8.55,20.425,0.188,694.4,37,48
cand02206,,,,,795.8,46,59
cand02207,,,,,767.3,43,57
cand02209,0.445,2.301,4.877,0.286,806.8,43,51
cand02213,,,,,677.8,40,50
cand02215,0.514,1.407,3.956,0.188,718.0,45,51
cand02216,0.044,8.5,25.375,0.0,813.8,49,60
cand02217,0.318,2.582,7.567,0.143,562.7,36,40
cand02218,0.717,1.54,4.166,0.857,894.3,47,63
cand02219,0.025,13.034,33.179,0.0,931.6,48,57
cand02220,,,,,785.0,44,57
cand02221,0.022,15.147,35.224,0.0,864.3,51,66
cand02222,0.365,2.436,7.94,0.286,819.6,43,62
cand02223,0.414,2.767,7.277,0.438,736.3,46,52
cand02224,0.021,13.91,36.733,0.0,635.9,36,40
cand02226,0.246,3.135,10.218,0.143,659.8,39,47
cand02227,,,,,597.4,36,40
cand02229,,,,,543.1,35,42
cand02230,0.362,2.263,4.523,0.0,622.6,33,37
cand02231,,,,,838.8,46,58
cand02232,,,,,722.2,40,51
cand02234,,,,,507.4,25,27
cand02235,0.396,2.265,6.979,0.286,710.1,38,48
cand02238,0.315,3.375,7.995,0.25,775.0,38,52
cand02239,0.577,1.978,6.204,0.714,717.4,43,46
cand02240,0.027,10.271,33.878,0.0,626.4,37,42
cand02241,0.685,1.22,2.975,0.562,870.9,46,62
cand02242,0.027,12.032,32.053,0.0,589.6,39,53
cand02243,0.378,2.392,7.445,0.286,745.5,44,60
cand02246,0.127,5.541,18.885,0.143,934.5,46,58
cand02248,0.699,1.165,2.661,0.562,875.8,45,61
cand02249,0.384,2.329,7.344,0.286,771.7,40,55
cand02250,0.252,3.588,12.325,0.286,716.7,41,55
cand02253,0.852,0.858,2.069,0.857,1000.7,49,66
cand02254,,,,,471.5,30,31
cand02255,0.803,0.957,1.99,0.75,868.3,46,58
cand02257,,,,,536.8,31,34
cand02258,0.519,1.652,3.495,0.25,803.9,43,50
cand02259,0.325,2.722,9.259,0.286,770.4,42,60
cand02261,0.211,3.563,11.828,0.143,653.4,34,41
cand02264,0.366,2.502,7.7,0.286,744.8,40,55
cand02265,0.155,6.685,15.621,0.188,660.1,33,40
cand02267,,,,,697.6,41,54
cand02268,,,,,604.6,40,47
cand02269,0.803,1.171,2.34,0.857,1053.8,53,69
cand02270,0.92,0.766,1.592,1.0,1069.2,52,70
cand02271,,,,,564.0,34,42
cand02272,0.765,1.157,2.512,0.75,888.6,47,58
cand02273,,,,,577.2,32,36
cand02276,0.736,0.997,1.916,0.562,831.3,46,57
cand02277,0.066,6.843,20.167,0.0,710.7,43,48
cand02279,0.117,8.989,21.508,0.188,773.7,41,51
cand02280,0.876,0.936,2.715,1.0,972.9,52,68
cand02281,0.72,1.034,3.477,0.625,853.3,44,63
cand02283,0.187,6.086,14.621,0.25,674.2,43,55
cand02286,0.789,1.202,2.805,0.857,974.6,52,69
cand02288,0.021,14.969,36.418,0.0,668.3,37,44
cand02289,0.056,8.395,21.258,0.0,885.2,51,59
cand02290,,,,,550.9,33,37
cand02291,0.37,2.697,9.513,0.429,1006.0,58,77
cand02292,0.23,3.584,10.053,0.125,736.6,39,47
cand02293,,,,,756.9,46,56
cand02294,0.832,0.939,2.495,0.857,945.3,51,65
cand02296,,,,,199.0,13,10
cand02297,0.708,1.218,2.892,0.625,889.4,44,56
cand02298,0.903,0.594,1.004,0.857,954.5,48,62
cand02299,0.724,1.582,3.681,0.857,942.9,50,63
cand02300,0.959,0.491,1.411,1.0,996.3,52,70
cand02301,0.142,5.958,15.07,0.125,838.3,52,62
cand02302,0.207,3.659,11.986,0.143,609.7,34,39
cand02304,0.689,1.234,2.704,0.562,828.1,45,60
cand02305,0.025,12.547,33.66,0.0,805.3,55,72
cand02306,0.322,3.296,10.024,0.375,793.5,43,59
cand02310,0.031,10.943,30.185,0.0,821.5,46,52
cand02314,0.308,2.95,6.138,0.062,650.8,37,44
cand02317,0.118,8.595,30.247,0.25,580.4,36,47
cand02321,0.809,1.036,2.204,0.812,887.8,46,62
cand02324,0.679,1.322,3.587,0.625,904.8,50,65
cand02325,,,,,491.9,29,31
cand02327,0.027,13.068,31.673,0.0,801.8,45,55
cand02328,0.416,1.87,4.336,0.062,719.3,39,46
cand02329,0.93,0.691,1.605,1.0,918.5,53,69
cand02331,,,,,645.0,36,43
cand02332,0.024,13.296,33.473,0.0,806.2,47,55
cand02333,0.028,12.577,31.281,0.0,782.7,66,137
cand02334,0.027,11.11,32.499,0.0,783.5,48,62
cand02335,0.086,8.149,19.344,0.062,620.0,34,40
cand02338,,,,,543.1,34,43
cand02339,0.094,7.979,24.948,0.143,722.4,37,45
cand02340,0.122,8.59,20.337,0.188,760.9,41,51
cand02342,0.102,8.578,20.173,0.125,615.0,33,39
cand02343,0.886,0.665,1.632,0.857,897.7,51,65
cand02345,,,,,530.9,27,34
cand02348,,,,,595.8,30,32
cand02354,,,,,571.0,29,34
cand02357,0.135,7.561,18.179,0.188,640.7,33,41
cand02359,0.5,1.938,3.697,0.286,798.3,46,53
cand02361,0.022,11.549,37.662,0.0,781.7,43,54
cand02363,0.098,6.069,15.29,0.0,725.3,37,47
cand02364,0.11,9.79,23.157,0.188,676.4,33,42
cand02365,0.328,3.075,7.798,0.25,756.1,40,50
cand02367,,,,,458.9,29,37
cand02369,0.041,8.698,26.212,0.0,812.2,48,57
cand02370,0.434,2.072,5.937,0.286,867.7,47,53
cand02372,,,,,565.8,34,40
cand02373,,,,,561.3,34,39
cand02374,,,,,672.9,31,35
cand02376,0.13,7.69,19.102,0.188,750.2,38,51
cand02377,,,,,691.4,40,50
cand02379,0.055,13.877,30.692,0.083,874.6,46,61
cand02380,,,,,538.8,31,35
cand02381,,,,,497.4,25,27
cand02382,,,,,612.4,34,40
cand02384,0.09,7.564,18.735,0.062,740.7,36,46
cand02385,0.022,14.149,35.711,0.0,923.7,60,88
cand02387,0.794,0.651,1.543,0.571,920.9,45,56
cand02388,,,,,591.6,34,39
cand02390,,,,,433.9,23,27
cand02391,0.13,8.018,18.949,0.188,625.5,33,44
cand02392,0.031,12.321,28.937,0.0,644.1,39,47
cand02393,0.798,0.639,1.357,0.571,904.7,51,72
cand02394,0.634,1.585,4.188,0.625,864.5,41,50
cand02398,0.126,8.279,19.557,0.188,678.1,36,42
cand02400,0.322,2.716,9.463,0.286,886.1,53,56
cand02401,0.932,0.658,1.824,1.0,976.4,52,70
cand02402,0.113,7.731,18.244,0.125,596.2,33,42
cand02404,0.087,6.55,16.499,0.0,618.2,36,45
cand02405,0.091,9.612,22.705,0.125,663.0,35,49
cand02406,0.748,0.948,1.763,0.571,886.8,48,63
cand02408,0.639,1.397,4.117,0.571,835.0,49,65
cand02411,0.31,4.561,10.341,0.429,834.3,45,49
cand02412,0.821,0.697,1.364,0.667,984.6,50,62
cand02413,0.128,7.895,19.395,0.188,762.9,43,53
cand02414,0.807,1.404,3.008,1.0,870.0,52,56
cand02415,0.116,9.017,21.521,0.188,690.0,37,43
cand02416,0.12,7.037,17.474,0.125,818.7,39,50
cand02417,0.113,9.452,22.368,0.188,705.4,37,50
cand02420,0.108,8.024,19.113,0.125,689.2,34,43
cand02423,0.135,7.407,18.318,0.188,846.3,44,56
cand02424,0.895,0.874,2.161,1.0,782.2,40,47
cand02425,0.136,7.579,18.015,0.188,678.0,38,51
cand02426,0.902,0.844,2.019,1.0,887.3,44,53
cand02427,0.808,1.228,3.909,1.0,920.7,47,58
cand02429,0.823,0.692,1.274,0.667,902.6,47,59
cand02431,0.105,8.153,19.764,0.125,687.8,34,43
cand02432,0.017,22.875,38.303,0.0,543.2,30,36
cand02435,0.081,7.52,16.678,0.0,871.1,52,87
cand02436,0.035,11.605,27.17,0.0,541.7,30,32
cand02437,0.903,0.764,2.577,1.0,925.3,49,66
cand02438,0.115,9.145,21.732,0.188,790.7,43,58
cand02439,0.127,8.181,19.434,0.188,742.2,40,51
cand02441,0.913,0.741,2.265,1.0,974.9,46,59
cand02442,0.16,6.459,15.079,0.188,674.3,39,48
cand02443,0.154,5.086,12.37,0.062,524.4,29,35
cand02445,0.132,7.817,18.551,0.188,698.4,36,44
cand02447,0.865,0.803,2.098,0.875,887.1,47,58
cand02448,0.095,7.464,17.905,0.062,681.5,33,41
cand02452,0.117,9.04,21.462,0.188,763.3,41,55
cand02453,0.081,6.725,17.175,0.0,519.7,27,31
cand02456,0.136,7.586,17.978,0.188,677.5,35,43
cand02458,0.087,8.166,19.143,0.062,626.1,34,42
cand02459,0.089,8.069,18.765,0.062,589.3,30,34
cand02461,0.068,6.538,19.891,0.0,635.5,42,42
cand02462,0.103,8.41,20.014,0.125,776.6,37,45
cand02463,0.933,0.662,1.701,1.0,962.2,46,60
cand02464,0.891,0.965,1.562,1.0,856.5,46,64
cand02467,0.143,6.341,14.712,0.125,559.5,34,36
cand02468,0.916,0.804,1.492,1.0,959.5,47,60
cand02469,0.93,0.639,2.075,1.0,898.2,47,58
cand02470,0.277,3.668,12.572,0.375,752.1,47,54
cand02471,0.928,0.658,2.063,1.0,898.8,46,58
cand02472,0.034,9.465,29.232,0.0,785.9,42,51
cand02473,0.927,0.69,1.865,1.0,919.4,45,60
cand02474,0.942,0.625,1.377,1.0,921.2,46,62
cand02475,0.912,0.8,1.773,1.0,947.0,45,57
cand02477,0.855,1.022,3.097,1.0,952.8,47,57
cand02479,0.933,0.656,1.718,1.0,980.8,47,61
